['a153', 'a515', 'a127', 'a415', 'a754', 'a204', 'a727', 'a723', 'a308', 'a815', 'a6', 'a426', 'a164', 'a775', 'a427']
['a256', 'a526', 'a735', 'a660', 'a611', 'a864', 'a39', 'a505', 'a226', 'a448', 'a282', 'a267', 'a453', 'a655', 'a79']
['a381', 'a253', 'a632', 'a312', 'a139', 'a224', 'a437', 'a824', 'a314', 'a98', 'a183', 'a345', 'a829', 'a291', 'a649']
['a215', 'a378', 'a762', 'a77', 'a366', 'a137', 'a715', 'a95', 'a392', 'a412', 'a264', 'a839', 'a662', 'a112', 'a327']
['a369', 'a823', 'a223', 'a265', 'a750', 'a884', 'a700', 'a877', 'a355', 'a564', 'a755', 'a332', 'a193', 'a521', 'a404']
['a295', 'a455', 'a517', 'a202', 'a304', 'a135', 'a659', 'a461', 'a800', 'a621', 'a407', 'a856', 'a325', 'a790', 'a178']
['a492', 'a575', 'a302', 'a885', 'a494', 'a475', 'a588', 'a110', 'a305', 'a442', 'a249', 'a561', 'a748', 'a818', 'a406']
['a261', 'a690', 'a122', 'a672', 'a518', 'a205', 'a154', 'a670', 'a713', 'a704', 'a620', 'a409', 'a52', 'a551', 'a347']
['a219', 'a13', 'a199', 'a111', 'a771', 'a851', 'a534', 'a743', 'a300', 'a872', 'a361', 'a64', 'a666', 'a387', 'a466']
['a881', 'a756', 'a546', 'a894', 'a760', 'a53', 'a867', 'a470', 'a580', 'a699', 'a582', 'a326', 'a446', 'a255', 'a173']
['a528', 'a433', 'a228', 'a20', 'a501', 'a235', 'a707', 'a299', 'a467', 'a710', 'a132', 'a81', 'a636', 'a239', 'a403']
['a737', 'a70', 'a733', 'a678', 'a734', 'a329', 'a880', 'a557', 'a207', 'a96', 'a247', 'a47', 'a489', 'a252', 'a405']
['a438', 'a639', 'a383', 'a125', 'a720', 'a842', 'a169', 'a622', 'a519', 'a806', 'a725', 'a886', 'a624', 'a853', 'a121']
['a367', 'a712', 'a642', 'a895', 'a221', 'a395', 'a463', 'a266', 'a90', 'a23', 'a835', 'a227', 'a502', 'a674', 'a675']
['a310', 'a138', 'a68', 'a12', 'a400', 'a788', 'a413', 'a669', 'a870', 'a566', 'a469', 'a769', 'a661', 'a522', 'a728']
['a810', 'a365', 'a548', 'a30', 'a136', 'a322', 'a370', 'a177', 'a503', 'a589', 'a663', 'a716', 'a567', 'a286', 'a618']
['a592', 'a741', 'a76', 'a794', 'a679', 'a297', 'a130', 'a569', 'a473', 'a759', 'a871', 'a832', 'a731', 'a417', 'a373']
['a478', 'a244', 'a402', 'a421', 'a58', 'a638', 'a581', 'a66', 'a61', 'a892', 'a303', 'a625', 'a443', 'a606', 'a809']
['a617', 'a335', 'a352', 'a179', 'a459', 'a194', 'a744', 'a306', 'a781', 'a527', 'a559', 'a26', 'a574', 'a600', 'a711']
['a752', 'a91', 'a486', 'a843', 'a889', 'a131', 'a695', 'a449', 'a5', 'a513', 'a414', 'a401', 'a598', 'a97', 'a143']
['a324', 'a836', 'a770', 'a677', 'a243', 'a782', 'a157', 'a259', 'a761', 'a510', 'a719', 'a795', 'a732', 'a658', 'a420']
['a273', 'a722', 'a323', 'a601', 'a571', 'a654', 'a196', 'a635', 'a878', 'a280', 'a858', 'a765', 'a595', 'a41', 'a344']
['a477', 'a376', 'a117', 'a172', 'a371', 'a626', 'a166', 'a197', 'a812', 'a773', 'a616', 'a258', 'a447', 'a736', 'a25']
['a476', 'a277', 'a56', 'a859', 'a633', 'a101', 'a653', 'a657', 'a408', 'a599', 'a287', 'a272', 'a213', 'a778', 'a242']
['a472', 'a444', 'a357', 'a217', 'a78', 'a119', 'a288', 'a89', 'a200', 'a847', 'a24', 'a301', 'a767', 'a558', 'a891']
['a863', 'a460', 'a479', 'a232', 'a208', 'a435', 'a241', 'a640', 'a17', 'a106', 'a742', 'a764', 'a706', 'a668', 'a701']
['a749', 'a307', 'a315', 'a363', 'a190', 'a59', 'a372', 'a92', 'a209', 'a102', 'a703', 'a109', 'a671', 'a608', 'a281']
['a423', 'a544', 'a768', 'a419', 'a69', 'a746', 'a88', 'a681', 'a628', 'a739', 'a269', 'a87', 'a509', 'a141', 'a201']
['a900', 'a105', 'a612', 'a340', 'a211', 'a850', 'a537', 'a458', 'a717', 'a689', 'a869', 'a33', 'a229', 'a488', 'a104']
['a687', 'a384', 'a237', 'a682', 'a115', 'a780', 'a34', 'a155', 'a834', 'a568', 'a504', 'a597', 'a738', 'a555', 'a686']
['a343', 'a73', 'a605', 'a786', 'a615', 'a337', 'a629', 'a684', 'a180', 'a158', 'a536', 'a613', 'a148', 'a641', 'a425']
['a431', 'a424', 'a747', 'a656', 'a776', 'a819', 'a8', 'a693', 'a757', 'a585', 'a149', 'a123', 'a391', 'a745', 'a250']
['a825', 'a898', 'a696', 'a538', 'a289', 'a779', 'a386', 'a192', 'a729', 'a174', 'a525', 'a296', 'a416', 'a652', 'a1']
['a313', 'a377', 'a844', 'a822', 'a758', 'a206', 'a292', 'a46', 'a231', 'a276', 'a890', 'a602', 'a124', 'a498', 'a540']
['a185', 'a29', 'a563', 'a320', 'a368', 'a382', 'a319', 'a170', 'a284', 'a191', 'a348', 'a840', 'a673', 'a309', 'a692']
['a579', 'a792', 'a816', 'a753', 'a44', 'a165', 'a147', 'a354', 'a627', 'a342', 'a784', 'a440', 'a698', 'a375', 'a422']
['a126', 'a107', 'a664', 'a730', 'a189', 'a483', 'a152', 'a240', 'a60', 'a167', 'a808', 'a399', 'a883', 'a576', 'a813']
['a246', 'a274', 'a645', 'a643', 'a31', 'a630', 'a298', 'a777', 'a128', 'a118', 'a465', 'a879', 'a187', 'a594', 'a162']
['a142', 'a793', 'a251', 'a436', 'a694', 'a852', 'a238', 'a860', 'a248', 'a533', 'a225', 'a55', 'a874', 'a584', 'a774']
['a439', 'a214', 'a234', 'a150', 'a389', 'a156', 'a396', 'a394', 'a549', 'a572', 'a379', 'a429', 'a21', 'a116', 'a846']
['a508', 'a875', 'a882', 'a57', 'a511', 'a499', 'a317', 'a245', 'a868', 'a451', 'a129', 'a468', 'a496', 'a565', 'a591']
['a697', 'a529', 'a418', 'a134', 'a410', 'a718', 'a37', 'a573', 'a866', 'a772', 'a631', 'a144', 'a182', 'a680', 'a804']
['a4', 'a380', 'a531', 'a330', 'a393', 'a590', 'a586', 'a623', 'a336', 'a114', 'a293', 'a838', 'a783', 'a283', 'a176']
['a609', 'a54', 'a610', 'a230', 'a236', 'a550', 'a456', 'a532', 'a570', 'a257', 'a507', 'a805', 'a619', 'a452', 'a714']
['a552', 'a432', 'a71', 'a133', 'a294', 'a683', 'a554', 'a263', 'a358', 'a271', 'a9', 'a195', 'a726', 'a766', 'a441']
['a181', 'a10', 'a493', 'a855', 'a359', 'a530', 'a676', 'a388', 'a791', 'a556', 'a820', 'a334', 'a862', 'a290', 'a491']
['a48', 'a899', 'a516', 'a462', 'a603', 'a198', 'a278', 'a339', 'a583', 'a888', 'a514', 'a218', 'a331', 'a490', 'a450']
['a160', 'a506', 'a233', 'a279', 'a22', 'a523', 'a86', 'a724', 'a430', 'a94', 'a360', 'a562', 'a688', 'a434', 'a188']
['a65', 'a587', 'a411', 'a484', 'a876', 'a646', 'a27', 'a614', 'a665', 'a650', 'a833', 'a171', 'a83', 'a328', 'a464']
['a203', 'a480', 'a577', 'a2', 'a607', 'a99', 'a593', 'a801', 'a861', 'a338', 'a151', 'a763', 'a103', 'a553', 'a500']
['a390', 'a667', 'a542', 'a821', 'a471', 'a63', 'a351', 'a75', 'a270', 'a827', 'a541', 'a604', 'a3', 'a184', 'a145']
