['244', '447', '541', '445', '632', '139', '529', '871', '814', '193']
['381', '714', '41', '660', '817', '768', '405', '745', '857', '348']
['771', '699', '611', '829', '249', '846', '471', '99', '103', '61']
['753', '493', '782', '617', '573', '606', '887', '291', '834', '682']
['773', '947', '44', '78', '443', '145', '188', '331', '383', '592']
['287', '48', '736', '259', '79', '463', '186', '409', '712', '121']
['966', '355', '870', '368', '169', '564', '281', '51', '171', '363']
['543', '841', '635', '822', '928', '776', '772', '532', '598', '649']
['609', '735', '178', '738', '143', '327', '602', '195', '260', '979']
['604', '676', '489', '116', '956', '8', '137', '123', '271', '987']
['230', '665', '539', '258', '414', '403', '959', '15', '149', '969']
['211', '869', '563', '95', '398', '982', '45', '3', '202', '462']
['669', '502', '974', '905', '656', '585', '226', '670', '860', '503']
['220', '755', '696', '520', '542', '600', '922', '659', '433', '432']
['115', '918', '950', '467', '554', '655', '680', '734', '212', '747']
['290', '882', '146', '28', '454', '297', '601', '478', '127', '713']
['763', '845', '810', '275', '352', '218', '277', '318', '476', '640']
['672', '50', '341', '872', '71', '797', '722', '332', '16', '408']
['20', '701', '343', '319', '561', '977', '217', '334', '784', '597']
['460', '307', '126', '412', '654', '590', '251', '795', '124', '14']
['743', '375', '781', '560', '785', '371', '777', '638', '737', '647']
['227', '396', '524', '603', '572', '6', '920', '456', '133', '876']
['113', '18', '945', '946', '615', '369', '92', '243', '321', '569']
['122', '34', '156', '881', '693', '741', '690', '809', '374', '43']
['986', '610', '30', '173', '731', '710', '652', '942', '209', '549']
['134', '83', '245', '925', '792', '843', '591', '671', '458', '504']
['293', '663', '337', '70', '588', '265', '90', '883', '187', '389']
['926', '711', '466', '80', '510', '49', '472', '388', '930', '423']
['900', '720', '997', '577', '303', '964', '874', '273', '512', '808']
['667', '158', '205', '37', '270', '91', '223', '893', '511', '575']
['182', '335', '854', '60', '174', '206', '506', '938', '254', '98']
['537', '278', '85', '191', '855', '779', '584', '907', '97', '565']
['766', '494', '429', '68', '12', '718', '31', '618', '384', '485']
['1', '208', '246', '225', '586', '709', '933', '379', '955', '973']
['868', '837', '315', '157', '267', '283', '488', '599', '263', '995']
['104', '559', '151', '765', '180', '501', '935', '152', '851', '540']
['848', '42', '475', '658', '807', '140', '891', '415', '972', '884']
['305', '583', '832', '630', '299', '359', '646', '256', '285', '264']
['390', '687', '329', '397', '624', '912', '951', '72', '446', '242']
['780', '684', '346', '189', '317', '23', '356', '733', '144', '56']
['495', '339', '759', '678', '985', '35', '280', '613', '377', '931']
['96', '295', '417', '742', '815', '328', '177', '179', '550', '555']
['380', '844', '391', '69', '410', '172', '637', '163', '402', '282']
['269', '235', '725', '47', '748', '526', '160', '26', '395', '480']
['86', '705', '147', '142', '347', '76', '770', '958', '949', '425']
['418', '507', '708', '978', '247', '674', '952', '487', '787', '190']
['392', '313', '917', '312', '364', '289', '185', '523', '967', '842']
['875', '162', '901', '778', '867', '760', '811', '607', '908', '608']
['727', '634', '279', '367', '828', '148', '965', '420', '989', '695']
['892', '93', '513', '479', '961', '679', '522', '176', '578', '197']
['399', '204', '595', '268', '580', '983', '25', '382', '67', '457']
['481', '165', '59', '661', '558', '426', '885', '831', '721', '221']
['274', '970', '358', '184', '213', '877', '749', '643', '136', '469']
['821', '894', '878', '261', '131', '482', '762', '552', '629', '135']
['798', '248', '436', '730', '641', '818', '468', '957', '790', '840']
