['65', '620', '525', '18', '417', '279', '685', '96', '645', '703', '202', '90', '291', '377', '629', '423', '328', '355', '440', '339', '81', '22', '626', '531', '526', '226', '398', '258', '591', '262', '123', '183', '304', '5', '780', '138', '680', '161', '783', '284']
['360', '269', '32', '513', '357', '88', '556', '80', '327', '742', '369', '558', '8', '197', '683', '208', '182', '719', '100', '373', '522', '326', '274', '751', '725', '59', '117', '749', '776', '302', '263', '292', '682', '701', '794', '361', '352', '670', '323', '43']
['375', '309', '554', '333', '3', '383', '318', '210', '715', '351', '757', '562', '689', '549', '653', '19', '203', '731', '299', '372', '590', '265', '461', '281', '127', '622', '666', '473', '456', '665', '454', '617', '154', '367', '760', '359', '616', '185', '726', '503']
['681', '413', '479', '467', '95', '255', '465', '492', '135', '664', '391', '583', '661', '588', '435', '379', '364', '593', '229', '56', '649', '582', '481', '528', '568', '693', '696', '774', '594', '631', '572', '446', '791', '650', '788', '563', '72', '366', '420', '540']
['743', '537', '699', '580', '732', '246', '275', '67', '652', '427', '608', '477', '115', '676', '295', '402', '533', '789', '363', '575', '728', '101', '635', '114', '294', '74', '143', '237', '516', '313', '385', '741', '486', '463', '92', '273', '606', '186', '782', '252']
['169', '443', '261', '471', '613', '286', '733', '550', '87', '396', '684', '445', '128', '765', '564', '615', '27', '421', '389', '747', '729', '717', '475', '303', '602', '386', '671', '698', '713', '408', '784', '763', '371', '157', '488', '407', '768', '192', '712', '721']
['667', '447', '735', '716', '700', '410', '660', '415', '177', '476', '459', '156', '2', '397', '347', '520', '603', '628', '584', '223', '458', '444', '348', '211', '376', '346', '184', '708', '41', '691', '654', '151', '288', '93', '630', '679', '607', '311', '121', '321']
['451', '233', '245', '68', '213', '637', '137', '668', '188', '535', '640', '129', '707', '634', '614', '173', '600', '619', '581', '345', '218', '221', '216', '28', '106', '215', '585', '775', '362', '534', '508', '179', '141', '387', '9', '217', '655', '722', '453', '424']
['236', '656', '118', '342', '587', '745', '99', '353', '230', '434', '720', '260', '618', '426', '207', '125', '212', '381', '512', '567', '687', '69', '777', '172', '241', '21', '384', '194', '243', '267', '33', '432', '1', '524', '739', '506', '490', '149', '411', '694']
['134', '116', '573', '249', '394', '148', '646', '710', '485', '297', '39', '399', '499', '422', '577', '317', '500', '553', '159', '541', '527', '515', '797', '586', '431', '643', '24', '692', '790', '316', '85', '257', '287', '343', '605', '38', '697', '546', '662', '754']
['178', '624', '49', '570', '382', '174', '76', '105', '251', '181', '187', '242', '773', '466', '165', '35', '724', '310', '325', '439', '46', '428', '469', '405', '380', '480', '293', '50', '507', '491', '107', '224', '457', '301', '494', '268', '759', '496', '40', '190']
['644', '253', '214', '0', '734', '175', '285', '419', '798', '771', '44', '77', '78', '612', '738', '45', '641', '579', '761', '529', '505', '555', '418', '651', '142', '545', '12', '706', '356', '332', '523', '695', '595', '248', '648', '334', '320', '536', '403', '478']
['663', '66', '305', '240', '740', '219', '589', '89', '158', '312', '336', '282', '133', '433', '497', '341', '84', '748', '702', '636', '23', '779', '110', '404', '551', '144', '511', '744', '559', '63', '669', '162', '168', '442', '200', '57', '561', '7', '256', '61']
['781', '283', '452', '53', '307', '539', '599', '576', '598', '755', '778', '225', '460', '308', '145', '468', '300', '86', '199', '48', '11', '60', '438', '153', '462', '787', '16', '83', '247', '112', '736', '126', '13', '756', '690', '571', '222', '171', '532', '73']
['220', '796', '409', '395', '205', '495', '519', '146', '147', '450', '704', '166', '470', '786', '239', '393', '578', '792', '518', '430', '455', '204', '315', '335', '464', '337', '441', '448', '686', '209', '97', '70', '14', '278', '30', '319', '638', '769', '414', '642']
['753', '604', '120', '349', '232', '94', '54', '276', '657', '238', '560', '727', '290', '544', '25', '350', '659', '552', '750', '723', '264', '378', '47', '189', '574', '388', '772', '52', '569', '122', '766', '354', '673', '623', '266', '767', '521', '176', '17', '484']
['705', '306', '437', '709', '31', '514', '64', '206', '152', '677', '374', '621', '548', '737', '672', '20', '34', '10', '324', '259', '37', '566', '730', '270', '449', '296', '487', '330', '254', '764', '596', '543', '390', '340', '235', '150', '530', '412', '6', '592']
['752', '493', '610', '227', '108', '557', '36', '627', '55', '75', '538', '517', '170', '131', '365', '625', '15', '250', '104', '609', '368', '510', '191', '180', '482', '298', '163', '155', '109', '314', '234', '164', '436', '674', '111', '762', '102', '714', '42', '119']
['647', '113', '4', '82', '71', '542', '140', '58', '746', '795', '504', '244', '509', '483', '329', '130', '272', '678', '62', '196', '132', '51', '401', '124', '474', '597', '502', '611', '370', '400', '160', '758', '501', '472', '280', '498', '565', '198', '688', '98']
['489', '358', '167', '632', '675', '344', '793', '338', '322', '601', '91', '277', '331', '271', '29', '193', '103', '392', '416', '711', '785', '633', '429', '425', '406', '79', '547', '195', '658', '718', '770', '26', '136', '289', '139', '201', '228', '231', '639', '799']
