['911', '65', '663', '537', '644', '246', '18', '918', '624', '32', '214', '327', '810', '255', '275', '914', '886', '710', '952', '860', '295', '544', '25', '373', '298', '393', '957', '575', '293', '489', '341', '507', '696', '294', '636', '23', '449', '864', '102', '24', '825', '944', '457', '611', '816', '617', '865', '92', '185', '61']
['936', '360', '245', '75', '382', '846', '465', '285', '135', '477', '519', '399', '146', '329', '406', '397', '165', '904', '619', '981', '850', '336', '584', '916', '430', '346', '777', '11', '793', '897', '438', '224', '304', '569', '16', '354', '861', '901', '442', '673', '638', '855', '400', '858', '571', '490', '655', '161', '198', '688']
['752', '96', '700', '656', '742', '942', '137', '471', '514', '804', '342', '318', '955', '945', '353', '727', '39', '684', '875', '450', '510', '45', '325', '328', '458', '549', '314', '541', '418', '841', '481', '574', '338', '591', '508', '124', '984', '330', '144', '869', '666', '524', '807', '463', '920', '954', '484', '231', '121', '968']
['437', '452', '467', '538', '349', '971', '922', '197', '297', '657', '771', '821', '913', '290', '868', '609', '87', '182', '910', '191', '917', '615', '426', '444', '553', '962', '747', '582', '797', '990', '299', '431', '110', '111', '52', '332', '462', '559', '343', '287', '595', '30', '759', '563', '412', '521', '546', '949', '980', '884']
['827', '36', '580', '306', '881', '937', '513', '283', '632', '570', '219', '646', '15', '286', '885', '187', '755', '757', '308', '564', '260', '264', '992', '381', '895', '215', '956', '241', '686', '262', '151', '871', '695', '14', '844', '301', '516', '370', '157', '530', '42', '648', '119', '606', '6', '289', '352', '229', '192', '784']
['592', '647', '309', '113', '796', '975', '985', '394', '517', '542', '668', '177', '181', '896', '798', '576', '423', '230', '396', '391', '704', '130', '27', '603', '379', '862', '891', '639', '987', '842', '101', '729', '497', '270', '153', '243', '698', '511', '840', '900', '788', '494', '247', '320', '7', '403', '565', '979', '721', '190']
['66', '997', '866', '4', '417', '174', '745', '608', '625', '613', '193', '863', '156', '870', '466', '89', '79', '828', '724', '815', '806', '819', '548', '212', '20', '929', '199', '829', '272', '48', '674', '993', '123', '671', '839', '401', '523', '271', '33', '790', '596', '408', '714', '744', '496', '924', '767', '453', '478', '98']
['233', '410', '928', '982', '746', '734', '893', '998', '392', '238', '368', '499', '78', '614', '173', '845', '350', '600', '312', '421', '317', '939', '468', '228', '155', '969', '856', '725', '626', '515', '693', '948', '545', '566', '906', '999', '491', '772', '70', '384', '474', '665', '763', '266', '138', '501', '472', '965', '136', '201']
['220', '753', '169', '443', '167', '357', '573', '0', '805', '795', '599', '90', '629', '492', '104', '974', '434', '483', '195', '887', '139', '801', '792', '363', '125', '405', '380', '109', '947', '86', '905', '203', '961', '526', '822', '142', '362', '356', '487', '127', '814', '85', '878', '83', '387', '112', '951', '818', '532', '43']
['493', '735', '253', '82', '88', '709', '660', '31', '76', '95', '963', '365', '409', '535', '277', '291', '383', '902', '560', '978', '738', '347', '976', '618', '689', '593', '344', '133', '518', '221', '378', '34', '751', '41', '585', '702', '132', '461', '179', '787', '953', '488', '630', '217', '756', '359', '811', '273', '256', '989']
['716', '178', '358', '820', '637', '645', '54', '476', '205', '509', '707', '422', '719', '225', '715', '765', '813', '500', '883', '163', '903', '723', '469', '81', '106', '837', '531', '172', '143', '824', '446', '706', '265', '880', '361', '456', '934', '736', '823', '454', '367', '927', '915', '126', '768', '607', '420', '149', '402', '973']
