['753', '224', '875', '694', '311']
['353', '523', '656', '677', '801']
['571', '505', '511', '158', '936']
['610', '360', '86', '486', '828']
['527', '401', '136', '796', '413']
['102', '284', '157', '844', '786']
['327', '342', '868', '705', '429']
['262', '54', '304', '846', '467']
['729', '982', '214', '855', '599']
['207', '68', '928', '860', '404']
['620', '502', '196', '19', '640']
['758', '540', '963', '177', '578']
['163', '337', '691', '574', '251']
['380', '199', '601', '409', '432']
['263', '484', '681', '707', '220']
['748', '389', '154', '635', '807']
['458', '332', '42', '986', '315']
['202', '526', '808', '927', '457']
['384', '920', '570', '459', '605']
['769', '820', '616', '310', '778']
['314', '167', '906', '759', '375']
['638', '863', '365', '746', '880']
['996', '917', '85', '472', '50']
['752', '446', '331', '16', '735']
['385', '897', '787', '557', '183']
['952', '674', '850', '205', '718']
['701', '879', '276', '955', '853']
['33', '471', '815', '793', '78']
['189', '970', '382', '764', '35']
['483', '306', '871', '37', '348']
['877', '537', '391', '340', '150']
['926', '63', '169', '561', '520']
['84', '259', '351', '633', '428']
['93', '249', '551', '575', '132']
['547', '579', '559', '134', '395']
['623', '685', '737', '325', '466']
['816', '830', '565', '349', '227']
['625', '371', '17', '856', '503']
['387', '58', '166', '341', '951']
['312', '107', '499', '258', '566']
['888', '583', '470', '772', '713']
['889', '644', '24', '301', '347']
['771', '788', '630', '185', '619']
['894', '811', '750', '287', '550']
['195', '726', '240', '30', '766']
['931', '49', '366', '907', '201']
['553', '698', '998', '98', '697']
['835', '673', '424', '892', '514']
['768', '456', '932', '453', '447']
['572', '632', '52', '716', '405']
['554', '678', '770', '2', '47']
['216', '525', '343', '138', '732']
['900', '399', '825', '898', '303']
['641', '367', '485', '230', '762']
['878', '946', '721', '309', '415']
['885', '802', '188', '130', '648']
['510', '733', '233', '740', '92']
['760', '9', '271', '988', '439']
['821', '194', '480', '725', '507']
['799', '911', '173', '961', '659']
['378', '997', '576', '742', '443']
['464', '975', '376', '279', '829']
['392', '114', '653', '841', '913']
['197', '293', '854', '411', '617']
['848', '101', '670', '160', '591']
['949', '181', '777', '118', '924']
['200', '70', '546', '552', '370']
['45', '215', '270', '449', '747']
['406', '491', '882', '373', '968']
['165', '600', '789', '843', '541']
['950', '608', '119', '461', '810']
['95', '286', '297', '684', '146']
['624', '116', '724', '368', '661']
['112', '147', '133', '794', '445']
['175', '933', '260', '945', '454']
['568', '21', '999', '836', '504']
['530', '866', '26', '407', '649']
['941', '543', '178', '261', '763']
['700', '20', '172', '410', '590']
['693', '59', '257', '609', '422']
['627', '585', '336', '743', '148']
['416', '272', '124', '797', '800']
['938', '444', '400', '377', '535']
['290', '959', '72', '203', '431']
['65', '213', '289', '161', '876']
['606', '832', '99', '524', '90']
['715', '345', '273', '586', '942']
['356', '266', '268', '319', '756']
['477', '211', '88', '182', '96']
['108', '964', '662', '105', '973']
['228', '496', '545', '29', '490']
['687', '827', '826', '891', '776']
['256', '438', '117', '288', '962']
['636', '206', '984', '25', '731']
['277', '479', '722', '840', '144']
['991', '781', '538', '494', '767']
['468', '935', '352', '120', '987']
['75', '754', '245', '870', '217']
['460', '244', '669', '916', '234']
['57', '493', '686', '62', '46']
['500', '699', '32', '27', '113']
['783', '275', '652', '350', '246']
['129', '321', '956', '187', '73']
['123', '593', '824', '618', '430']
['357', '97', '296', '162', '414']
['423', '631', '720', '711', '283']
['140', '919', '110', '672', '8']
['671', '831', '785', '317', '433']
['241', '137', '379', '925', '745']
['7', '398', '993', '441', '629']
['905', '643', '688', '562', '862']
['513', '839', '425', '918', '83']
['939', '588', '595', '647', '657']
['328', '295', '238', '930', '775']
['577', '23', '142', '782', '838']
['450', '436', '914', '100', '943']
['719', '282', '890', '55', '867']
['455', '774', '544', '307', '333']
['665', '637', '845', '977', '61']
['614', '145', '922', '222', '642']
['51', '779', '13', '602', '791']
['329', '281', '899', '338', '403']
['690', '81', '976', '6', '909']
['383', '812', '208', '734', '326']
['418', '122', '954', '819', '944']
['864', '435', '852', '741', '442']
['76', '851', '390', '958', '198']
['254', '983', '252', '751', '346']
['243', '94', '74', '437', '229']
['292', '11', '611', '135', '985']
['324', '549', '597', '709', '702']
['67', '607', '534', '186', '739']
['473', '498', '294', '38', '884']
['529', '533', '896', '615', '859']
['452', '613', '87', '226', '929']
['654', '980', '79', '680', '363']
['164', '874', '695', '330', '191']
['628', '53', '872', '650', '305']
['463', '359', '589', '236', '660']
['40', '910', '761', '126', '833']
['64', '285', '573', '242', '299']
['209', '408', '966', '728', '683']
['528', '994', '645', '313', '564']
['421', '41', '692', '77', '12']
['663', '232', '60', '723', '622']
['192', '710', '516', '269', '937']
['179', '267', '18', '235', '517']
['508', '492', '176', '805', '842']
['339', '704', '397', '953', '857']
['170', '887', '104', '474', '322']
['667', '115', '127', '703', '972']
['790', '736', '171', '1', '248']
['883', '727', '584', '542', '981']
['155', '168', '308', '364', '448']
['818', '960', '34', '532', '792']
['604', '518', '995', '469', '184']
['22', '369', '111', '849', '358']
['509', '682', '481', '795', '225']
['451', '798', '419', '706', '427']
['31', '512', '3', '489', '193']
['646', '965', '487', '612', '212']
['323', '587', '402', '548', '106']
['804', '901', '278', '861', '394']
['109', '36', '539', '264', '89']
['515', '355', '651', '354', '219']
['596', '773', '14', '298', '335']
['482', '420', '738', '180', '971']
['316', '82', '280', '940', '475']
['417', '0', '979', '56', '904']
['149', '556', '302', '696', '912']
['274', '714', '143', '174', '247']
['10', '675', '318', '103', '712']
['730', '15', '159', '634', '426']
['749', '560', '580', '765', '4']
['934', '291', '69', '265', '921']
['803', '519', '806', '440', '372']
['908', '374', '969', '780', '334']
['858', '388', '152', '689', '598']
['886', '923', '497', '881', '396']
['300', '386', '823', '974', '676']
['48', '717', '957', '666', '237']
['151', '784', '947', '522', '91']
['603', '462', '639', '668', '139']
['255', '814', '817', '813', '80']
['465', '66', '903', '476', '190']
['869', '478', '990', '210', '915']
['948', '967', '837', '28', '664']
['44', '250', '755', '253', '809']
['320', '223', '71', '757', '5']
['658', '131', '362', '361', '893']
['626', '121', '501', '434', '594']
['708', '495', '531', '822', '506']
['895', '536', '153', '218', '128']
['381', '567', '834', '873', '569']
['992', '989', '582', '592', '581']
['141', '344', '865', '204', '393']
['744', '563', '655', '239', '412']
['488', '558', '125', '978', '221']
['902', '231', '521', '621', '43']
['679', '156', '39', '847', '555']
