['227', '417', '820', '68', '538', '922', '427', '104', '77', '2', '738', '350', '862', '967', '339', '376', '199', '10', '62', '431', '636', '762', '278', '494', '311']
['286', '476', '182', '619', '891', '689', '916', '159', '940', '531', '990', '654', '446', '302', '487', '330', '304', '788', '943', '736', '400', '638', '402', '694', '919']
['447', '357', '377', '322', '392', '483', '445', '917', '564', '191', '421', '206', '659', '218', '593', '133', '708', '215', '674', '591', '224', '623', '934', '43', '503']
['627', '513', '71', '8', '514', '64', '89', '422', '577', '877', '35', '260', '750', '841', '961', '404', '852', '14', '764', '543', '354', '670', '424', '688', '932']
['451', '937', '796', '685', '556', '542', '517', '0', '277', '181', '492', '165', '239', '310', '801', '836', '909', '888', '281', '442', '617', '865', '935', '231', '754']
['493', '108', '88', '333', '707', '584', '389', '837', '800', '854', '74', '299', '594', '132', '508', '254', '288', '390', '150', '759', '524', '547', '412', '722', '642']
['305', '872', '174', '652', '251', '29', '683', '44', '704', '308', '904', '439', '931', '458', '747', '20', '988', '184', '749', '438', '265', '5', '790', '57', '13']
['36', '134', '306', '82', '632', '573', '734', '459', '520', '579', '578', '468', '355', '737', '635', '386', '772', '33', '596', '30', '168', '536', '807', '256', '968']
['743', '321', '558', '3', '202', '210', '868', '397', '406', '100', '938', '991', '314', '970', '418', '179', '263', '243', '144', '502', '530', '983', '486', '680', '540']
['960', '232', '703', '15', '485', '945', '477', '925', '499', '225', '994', '641', '527', '48', '209', '462', '183', '944', '63', '162', '361', '313', '767', '17', '425']
['620', '950', '700', '467', '539', '609', '173', '393', '996', '549', '548', '553', '873', '56', '216', '480', '114', '871', '401', '941', '122', '823', '496', '407', '484']
['699', '656', '116', '349', '740', '170', '809', '466', '450', '79', '581', '717', '86', '545', '475', '23', '923', '791', '799', '141', '901', '385', '40', '679', '647']
['753', '827', '644', '409', '197', '135', '416', '835', '373', '883', '621', '106', '691', '879', '897', '332', '744', '844', '861', '690', '965', '366', '607', '989', '973']
['667', '716', '624', '307', '285', '230', '981', '435', '433', '649', '211', '497', '481', '675', '956', '678', '824', '441', '585', '398', '102', '123', '665', '247', '149']
['375', '360', '309', '554', '742', '608', '297', '598', '727', '470', '379', '207', '957', '819', '455', '405', '101', '702', '551', '714', '758', '201', '949', '565', '662']
['283', '167', '255', '942', '415', '798', '634', '128', '786', '588', '850', '834', '26', '109', '226', '296', '151', '292', '124', '267', '271', '301', '161', '995', '512']
['537', '443', '94', '535', '998', '276', '755', '910', '978', '351', '125', '555', '992', '725', '651', '37', '448', '779', '16', '986', '869', '501', '463', '920', '532']
['663', '236', '219', '369', '886', '550', '244', '966', '166', '428', '22', '730', '52', '51', '633', '595', '319', '112', '812', '138', '648', '490', '420', '783', '826']
['580', '246', '452', '120', '637', '383', '495', '353', '434', '347', '661', '139', '344', '346', '189', '696', '303', '650', '408', '900', '387', '563', '6', '521', '506']
['975', '31', '95', '90', '710', '893', '187', '902', '870', '460', '583', '544', '27', '724', '575', '341', '172', '241', '889', '432', '673', '473', '200', '697', '979']
