['848', '1', '604', '729', '676', '967', '49', '927', '888', '655', '920', '809', '97', '662', '304']
['890', '20', '283', '32', '450', '116', '951', '807', '140', '94', '652', '880', '286', '511', '548']
['109', '211', '309', '943', '859', '934', '656', '544', '449', '336', '724', '403', '123', '425', '16']
['287', '19', '401', '674', '213', '542', '281', '536', '636', '791', '356', '163', '733', '713', '857']
['512', '714', '913', '527', '515', '660', '369', '603', '847', '671', '589', '198', '852', '949', '649']
['81', '234', '115', '233', '884', '245', '125', '704', '899', '612', '74', '453', '955', '321', '378']
['902', '744', '596', '610', '209', '882', '715', '103', '412', '915', '641', '505', '799', '849', '657']
['381', '543', '666', '278', '168', '866', '483', '9', '117', '62', '239', '40', '730', '887', '393']
['220', '681', '707', '525', '437', '627', '987', '345', '942', '789', '111', '973', '999', '826', '469']
['936', '974', '844', '665', '422', '725', '144', '670', '415', '795', '223', '263', '404', '330', '221']
['129', '663', '979', '383', '55', '189', '540', '407', '398', '296', '608', '695', '98', '764', '433']
['986', '620', '2', '89', '235', '248', '69', '10', '142', '474', '995', '352', '348', '135', '919']
['477', '559', '181', '992', '771', '108', '528', '178', '518', '367', '517', '217', '465', '24', '326']
['104', '295', '837', '113', '247', '524', '359', '366', '438', '522', '591', '954', '243', '814', '183']
['644', '937', '147', '473', '938', '249', '148', '770', '643', '237', '697', '325', '102', '621', '640']
['667', '159', '236', '720', '751', '507', '68', '174', '394', '760', '241', '581', '546', '930', '688']
['451', '863', '87', '418', '940', '78', '910', '436', '696', '482', '722', '196', '310', '836', '457']
['699', '794', '870', '184', '305', '57', '494', '810', '572', '342', '218', '921', '458', '504', '212']
['274', '537', '901', '796', '200', '736', '203', '854', '214', '961', '319', '119', '388', '886', '694']
['878', '905', '867', '865', '143', '975', '373', '588', '350', '767', '734', '883', '523', '252', '808']
['392', '39', '502', '410', '533', '406', '956', '928', '520', '774', '579', '3', '265', '972', '712']
['701', '199', '950', '308', '400', '67', '364', '958', '801', '332', '444', '133', '873', '629', '598']
['399', '466', '467', '545', '531', '741', '317', '45', '118', '606', '428', '328', '194', '64', '210']
['128', '960', '519', '4', '577', '397', '538', '895', '324', '154', '226', '333', '167', '153', '288']
['343', '716', '96', '434', '624', '824', '566', '702', '964', '969', '746', '90', '419', '271', '576']
['192', '257', '499', '18', '626', '835', '272', '912', '431', '981', '933', '260', '514', '176', '262']
['216', '827', '86', '861', '227', '47', '700', '71', '917', '709', '312', '289', '601', '291', '549']
['459', '85', '306', '439', '946', '765', '259', '180', '564', '491', '833', '155', '782', '276', '575']
['509', '63', '77', '918', '158', '628', '858', '906', '275', '137', '152', '15', '806', '968', '432']
['781', '773', '134', '516', '335', '708', '800', '561', '320', '170', '463', '761', '815', '322', '991']
['555', '416', '376', '300', '230', '609', '605', '413', '754', '680', '578', '26', '254', '553', '61']
['560', '732', '358', '75', '28', '357', '475', '138', '76', '654', '131', '506', '52', '409', '532']
['672', '497', '823', '503', '738', '486', '219', '145', '874', '490', '908', '508', '231', '916', '876']
['396', '997', '59', '88', '294', '160', '501', '922', '668', '201', '151', '871', '650', '73', '43']
['268', '452', '266', '748', '25', '547', '615', '843', '441', '619', '521', '471', '805', '903', '664']
['101', '360', '36', '169', '204', '175', '468', '526', '855', '27', '828', '690', '607', '625', '224']
['996', '164', '673', '146', '623', '157', '349', '817', '637', '758', '472', '124', '121', '264', '962']
['314', '925', '371', '719', '909', '786', '100', '558', '372', '965', '476', '535', '292', '411', '455']
['683', '290', '892', '580', '177', '361', '150', '829', '948', '205', '924', '594', '23', '277', '569']
['766', '875', '66', '445', '872', '41', '563', '813', '803', '273', '923', '426', '689', '179', '941']
['487', '634', '966', '684', '246', '443', '370', '53', '79', '691', '351', '864', '750', '344', '33']
['65', '727', '34', '346', '856', '488', '820', '165', '845', '562', '939', '593', '282', '355', '737']
['802', '839', '617', '172', '37', '270', '686', '302', '251', '772', '5', '851', '384', '456', '825']
['743', '14', '622', '869', '953', '711', '301', '30', '554', '638', '850', '645', '105', '323', '389']
['911', '785', '50', '387', '816', '279', '112', '510', '685', '846', '779', '784', '331', '682', '480']
['755', '253', '896', '285', '197', '904', '661', '7', '811', '745', '377', '959', '424', '998', '363']
['380', '244', '238', '778', '583', '454', '191', '166', '255', '280', '484', '318', '187', '242', '692']
['788', '633', '340', '635', '313', '513', '721', '327', '421', '602', '571', '435', '386', '374', '819']
['390', '156', '988', '481', '898', '22', '460', '347', '382', '731', '768', '185', '957', '592', '840']
['375', '853', '830', '648', '13', '749', '989', '616', '8', '149', '311', '284', '250', '639', '29']
['947', '447', '705', '80', '82', '11', '632', '879', '740', '570', '971', '12', '706', '762', '726']
['821', '353', '687', '126', '739', '793', '710', '963', '232', '587', '202', '804', '885', '462', '550']
['208', '489', '225', '929', '978', '173', '994', '38', '877', '982', '206', '107', '642', '402', '297']
['106', '478', '464', '777', '60', '42', '990', '618', '993', '862', '783', '440', '798', '430', '405']
['752', '669', '493', '269', '240', '417', '479', '822', '573', '261', '539', '718', '31', '646', '461']
['495', '141', '182', '611', '557', '735', '329', '935', '58', '188', '91', '485', '698', '860', '945']
['368', '391', '881', '614', '44', '130', '678', '195', '500', '35', '110', '659', '677', '529', '944']
['894', '970', '838', '582', '541', '792', '136', '427', '842', '46', '207', '834', '267', '728', '747']
['926', '693', '84', '651', '307', '448', '446', '362', '590', '891', '599', '776', '51', '54', '190']
['316', '753', '900', '420', '868', '556', '832', '985', '742', '132', '492', '980', '551', '229', '597']
['717', '334', '95', '0', '365', '914', '769', '99', '298', '703', '17', '893', '395', '193', '423']
['568', '530', '757', '470', '600', '299', '976', '92', '6', '379', '552', '931', '228', '723', '653']
['293', '339', '567', '841', '315', '341', '48', '215', '675', '21', '258', '414', '171', '56', '932']
['763', '114', '797', '337', '303', '775', '977', '631', '897', '534', '338', '222', '70', '984', '127']
['780', '354', '162', '595', '83', '442', '93', '120', '385', '496', '983', '613', '831', '790', '408']
['429', '812', '630', '586', '658', '818', '574', '72', '679', '186', '161', '907', '256', '565', '498']
['889', '647', '787', '139', '756']
['759', '585', '584']
['122']
['952']
