['269', '627', '167', '53', '846', '637', '31', '342', '377', '608', '419', '297', '509', '79', '317', '996', '967', '916', '992', '481', '507', '324', '117', '977', '37', '730', '636', '151', '814', '682', '122', '943', '770', '935', '186', '799', '190']
['227', '997', '410', '513', '660', '255', '369', '118', '94', '795', '129', '835', '510', '786', '828', '152', '529', '264', '433', '947', '10', '203', '259', '774', '338', '24', '288', '714', '361', '168', '812', '400', '352', '851', '484', '149', '647']
['716', '214', '539', '645', '885', '15', '955', '276', '868', '778', '466', '165', '421', '659', '688', '991', '639', '389', '541', '50', '22', '961', '303', '526', '586', '23', '776', '196', '209', '692', '565', '141', '611', '93', '638', '726', '532']
['451', '537', '699', '554', '918', '8', '613', '90', '601', '193', '477', '98', '2', '917', '994', '520', '35', '206', '482', '155', '348', '216', '687', '346', '106', '568', '241', '706', '262', '487', '14', '200', '690', '6', '680', '972', '540']
['245', '96', '479', '832', '148', '3', '188', '105', '277', '483', '533', '939', '325', '393', '228', '806', '133', '430', '970', '777', '142', '475', '386', '650', '331', '695', '633', '343', '126', '818', '136', '920', '521', '161', '642', '721', '503']
['892', '178', '283', '452', '589', '242', '499', '329', '145', '374', '444', '930', '548', '211', '837', '47', '41', '797', '748', '822', '702', '111', '292', '194', '844', '278', '162', '595', '830', '42', '9', '501', '722', '256', '980', '252', '321']
['236', '233', '279', '174', '249', '170', '91', '409', '175', '286', '54', '550', '425', '910', '564', '180', '661', '239', '45', '25', '364', '139', '737', '653', '335', '48', '895', '626', '790', '457', '390', '711', '648', '571', '185', '229', '884']
['306', '732', '113', '624', '71', '471', '646', '833', '902', '634', '609', '925', '899', '100', '350', '500', '628', '552', '458', '405', '381', '339', '717', '480', '940', '929', '631', '590', '102', '569', '85', '38', '217', '756', '320', '311', '61']
['95', '982', '318', '876', '857', '863', '308', '603', '981', '641', '976', '618', '584', '831', '468', '355', '101', '376', '164', '315', '11', '362', '871', '787', '474', '33', '878', '524', '547', '536', '40', '760', '366', '289', '420', '402', '973']
['66', '493', '610', '116', '975', '928', '275', '805', '703', '535', '886', '99', '710', '87', '396', '146', '445', '351', '562', '723', '873', '125', '842', '854', '153', '258', '384', '124', '144', '890', '494', '488', '855', '768', '359', '273', '414']
['36', '309', '735', '872', '58', '202', '733', '771', '459', '727', '397', '166', '312', '874', '440', '212', '109', '802', '990', '431', '964', '574', '791', '183', '852', '408', '673', '901', '313', '385', '630', '658', '472', '847', '954', '949', '782']
['936', '681', '437', '305', '120', '219', '177', '423', '392', '104', '870', '765', '544', '260', '789', '380', '19', '341', '184', '693', '172', '448', '398', '906', '123', '179', '5', '235', '605', '623', '561', '453', '784', '456', '592', '826', '754']
['753', '447', '253', '413', '68', '49', '382', '427', '959', '485', '383', '683', '353', '966', '44', '399', '704', '738', '813', '439', '426', '834', '969', '199', '948', '594', '749', '231', '698', '267', '127', '713', '953', '823', '154', '280', '913']
['743', '604', '80', '55', '82', '971', '810', '963', '251', '514', '625', '285', '519', '434', '128', '845', '518', '455', '159', '582', '905', '114', '531', '143', '491', '21', '993', '263', '404', '944', '869', '442', '247', '454', '924', '965', '121']
['557', '985', '394', '599', '745', '998', '860', '416', '238', '676', '720', '89', '225', '429', '600', '619', '522', '163', '20', '545', '956', '585', '800', '299', '824', '572', '643', '772', '794', '473', '865', '718', '490', '176', '478', '73', '919']
['375', '866', '685', '307', '333', '322', '291', '817', '664', '192', '882', '78', '130', '195', '615', '883', '567', '28', '527', '74', '296', '110', '237', '107', '597', '744', '622', '30', '112', '160', '412', '334', '769', '927', '767', '783', '424']
['667', '443', '75', '467', '629', '893', '798', '657', '250', '945', '773', '598', '476', '755', '391', '422', '859', '757', '347', '579', '761', '819', '553', '497', '988', '725', '708', '436', '686', '132', '254', '257', '763', '665', '739', '662', '968']
['827', '18', '357', '365', '804', '809', '64', '684', '715', '612', '218', '792', '469', '838', '34', '300', '751', '515', '215', '897', '51', '764', '766', '543', '701', '861', '340', '669', '301', '563', '138', '367', '13', '72', '670', '989', '411']
['663', '881', '525', '358', '88', '656', '349', '76', '67', '849', '560', '147', '158', '891', '46', '223', '728', '575', '729', '234', '86', '635', '731', '388', '70', '332', '551', '511', '839', '287', '387', '463', '7', '679', '284', '504', '512']
['911', '705', '246', '820', '709', '542', '0', '734', '492', '135', '495', '290', '974', '875', '208', '406', '850', '282', '344', '808', '555', '747', '81', '293', '654', '270', '449', '889', '271', '316', '559', '741', '915', '758', '616', '17', '932']
['360', '108', '32', '950', '4', '742', '896', '29', '230', '368', '450', '904', '470', '588', '593', '56', '378', '672', '841', '69', '272', '602', '793', '446', '302', '534', '591', '671', '243', '926', '666', '354', '157', '759', '403', '171', '198']
