['743', '451', '525', '796', '982', '377', '798', '476', '684', '225', '976', '931', '689', '548', '221', '381', '708', '693', '800', '572', '243', '271', '597', '457', '744', '983', '690', '920', '414', '697', '913']
['753', '437', '624', '846', '646', '177', '419', '576', '945', '423', '902', '429', '428', '325', '469', '842', '339', '856', '777', '793', '631', '196', '1000', '984', '316', '763', '313', '638', '758', '424', '754']
['493', '309', '732', '632', '637', '942', '465', '896', '1074', '657', '510', '981', '724', '789', '218', '552', '426', '298', '1090', '480', '748', '586', '388', '487', '701', '673', '442', '830', '858', '782', '1078']
['360', '358', '479', '538', '685', '357', '327', '740', '261', '745', '250', '182', '146', '147', '921', '163', '374', '687', '184', '626', '905', '909', '691', '912', '330', '304', '622', '823', '412', '186', '980']
['604', '1040', '716', '1011', '937', '148', '409', '286', '208', '978', '719', '312', '1042', '958', '938', '505', '996', '957', '990', '590', '302', '209', '1055', '926', '666', '494', '965', '161', '972', '712', '512']
['911', '832', '333', '805', '416', '353', '1031', '434', '450', '704', '715', '619', '435', '1070', '1065', '555', '489', '436', '526', '854', '446', '1015', '591', '791', '714', '665', '605', '1027', '501', '679', '411']
['232', '415', '1021', '230', '1038', '351', '612', '641', '987', '314', '970', '481', '751', '929', '464', '961', '531', '296', '1089', '462', '766', '543', '1098', '536', '769', '722', '280', '149', '532', '1023', '919']
['554', '513', '660', '517', '188', '652', '795', '733', '509', '165', '899', '397', '206', '336', '207', '792', '621', '1020', '346', '441', '386', '814', '569', '794', '488', '496', '855', '648', '658', '571', '1012']
['644', '705', '279', '627', '275', '1054', '710', '859', '329', '191', '845', '1049', '1056', '1047', '1022', '300', '895', '822', '993', '923', '461', '889', '1057', '1058', '790', '780', '343', '878', '200', '486', '973']
['227', '928', '922', '471', '703', '277', '492', '459', '290', '946', '862', '393', '826', '468', '883', '431', '299', '730', '474', '288', '1091', '611', '319', '1041', '1033', '935', '273', '490', '425', '540', '1076']
['1088', '174', '843', '971', '322', '886', '863', '875', '600', '310', '211', '582', '204', '528', '335', '303', '338', '384', '692', '257', '278', '516', '268', '1009', '915', '760', '506', '1084', '176', '311', '256']
['1099', '963', '645', '601', '535', '291', '495', '1059', '917', '544', '939', '1068', '518', '969', '1067', '527', '1036', '294', '678', '948', '731', '602', '270', '183', '711', '623', '770', '472', '1073', '1017', '979']
['169', '746', '959', '1096', '817', '193', '773', '867', '180', '421', '350', '877', '579', '873', '962', '568', '1081', '651', '574', '356', '551', '390', '354', '162', '1066', '630', '359', '607', '478', '968', '190']
['447', '866', '219', '342', '857', '445', '904', '891', '282', '212', '729', '838', '898', '566', '241', '706', '534', '262', '695', '852', '1100', '254', '764', '642', '235', '812', '154', '927', '811', '231', '503']
['781', '246', '656', '542', '587', '1007', '1077', '885', '876', '295', '422', '470', '588', '326', '675', '545', '879', '484', '775', '475', '654', '779', '650', '944', '788', '287', '168', '454', '524', '352', '1003']
['417', '975', '803', '914', '668', '202', '608', '383', '1087', '560', '727', '676', '483', '910', '406', '520', '260', '930', '440', '940', '1069', '189', '888', '151', '559', '1075', '894', '361', '400', '456', '323']
['306', '167', '556', '709', '661', '317', '152', '364', '458', '991', '967', '363', '808', '378', '405', '389', '988', '372', '1029', '643', '179', '401', '1037', '371', '367', '951', '320', '680', '847', '420', '1019']
