['375', '204', '93', '166', '281', '476']
['80', '349', '143', '249', '299', '465']
['234', '300', '28', '12', '95', '322']
['122', '112', '173', '154', '27', '250']
['233', '19', '30', '397', '258', '484']
['451', '34', '242', '57', '174', '389']
['84', '167', '398', '64', '425', '408']
['164', '391', '341', '138', '486', '136']
['477', '272', '45', '366', '15', '363']
['238', '376', '226', '23', '139', '291']
['324', '203', '9', '126', '105', '458']
['459', '410', '436', '347', '482', '326']
['274', '129', '66', '86', '217', '498']
['220', '301', '445', '117', '137', '478']
['230', '247', '60', '327', '175', '331']
['287', '412', '463', '67', '251', '426']
['450', '120', '148', '223', '163', '98']
['488', '364', '177', '462', '262', '33']
['257', '150', '442', '219', '355', '411']
['268', '205', '337', '490', '144', '264']
['178', '184', '49', '74', '239', '229']
['96', '429', '0', '345', '209', '127']
['253', '235', '351', '382', '312', '428']
['422', '114', '308', '328', '439', '61']
['199', '10', '165', '374', '384', '187']
['381', '169', '89', '406', '119', '8']
['85', '269', '17', '107', '14', '210']
['396', '467', '35', '94', '485', '243']
['413', '71', '265', '102', '492', '480']
['216', '361', '32', '213', '320', '383']
['314', '87', '172', '73', '325', '254']
['353', '360', '368', '59', '124', '404']
['156', '483', '42', '388', '171', '318']
['53', '142', '367', '350', '453', '16']
['399', '248', '41', '365', '6', '149']
['130', '379', '277', '151', '181', '323']
['497', '76', '491', '232', '70', '125']
['81', '101', '115', '25', '415', '419']
['380', '245', '387', '140', '321', '348']
['339', '55', '441', '195', '161', '409']
['495', '418', '370', '305', '72', '286']
['134', '191', '153', '297', '192', '135']
['65', '240', '446', '280', '427', '267']
['434', '200', '336', '152', '311', '378']
['77', '128', '357', '294', '37', '160']
['290', '108', '471', '456', '26', '432']
['63', '39', '329', '260', '402', '271']
['346', '157', '454', '21', '438', '221']
['293', '306', '279', '48', '407', '186']
['392', '106', '68', '303', '431', '405']
['354', '78', '100', '13', '414', '430']
['460', '82', '266', '400', '3', '302']
['489', '479', '470', '58', '487', '288']
['141', '315', '18', '372', '197', '330']
['168', '261', '62', '359', '420', '285']
['211', '475', '333', '310', '282', '433']
['208', '443', '296', '188', '377', '123']
['313', '206', '289', '298', '263', '121']
['44', '481', '2', '147', '403', '401']
['104', '38', '237', '91', '90', '43']
['36', '246', '417', '284', '332', '97']
['20', '275', '118', '440', '103', '457']
['75', '394', '40', '362', '386', '273']
['499', '319', '496', '448', '369', '111']
['437', '47', '435', '461', '179', '194']
['24', '466', '116', '92', '256', '228']
['146', '99', '393', '155', '424', '190']
['170', '270', '472', '51', '224', '469']
['227', '162', '295', '11', '7', '54']
['340', '494', '335', '255', '198', '423']
['69', '215', '373', '352', '444', '29']
['109', '283', '449', '110', '231', '183']
['390', '113', '22', '214', '218', '56']
['278', '473', '317', '131', '196', '292']
['225', '79', '31', '46', '356', '344']
['88', '464', '259', '334', '468', '207']
['316', '371', '307', '132', '176', '201']
['158', '385', '241', '202', '222', '193']
['447', '159', '343', '309', '452', '185']
['244', '83', '145', '338', '5', '455']
['493', '182', '180', '474', '276', '304']
['416', '4', '189', '252', '395', '212']
['1', '236', '50', '358', '421', '52']
['342', '133']
