['227', '230', '225', '229', '228', '231', '221']
['683', '681', '684', '685', '691', '686', '682']
['375', '368', '371', '370', '367', '369', '366']
['477', '473', '470', '472', '471', '474', '476']
['580', '577', '579', '587', '578', '576', '575']
['509', '507', '510', '515', '506', '508', '511']
['261', '260', '265', '258', '262', '263', '264']
['413', '406', '403', '401', '402', '404', '405']
['543', '541', '544', '545', '542', '546', '549']
['381', '380', '376', '385', '379', '377', '378']
['159', '156', '158', '157', '160', '166', '161']
['340', '335', '333', '334', '336', '332', '331']
['122', '120', '126', '124', '121', '125', '133']
['663', '651', '648', '646', '650', '647', '649']
['87', '86', '96', '93', '92', '99', '91']
['65', '50', '55', '53', '52', '51', '54']
['293', '301', '300', '299', '296', '298', '297']
['314', '309', '295', '306', '291', '292', '304']
['191', '195', '196', '185', '192', '194', '193']
['437', '436', '441', '438', '439', '440', '430']
['20', '19', '18', '10', '21', '17', '16']
['164', '169', '162', '165', '173', '170', '151']
['519', '502', '499', '501', '500', '505', '504']
['399', '396', '397', '400', '394', '407', '398']
['610', '611', '620', '614', '612', '615', '616']
['81', '85', '83', '89', '80', '88', '90']
['538', '547', '539', '534', '551', '540', '553']
['582', '573', '570', '571', '574', '572', '569']
['63', '59', '60', '62', '45', '58', '61']
['447', '434', '442', '429', '432', '431', '433']
['343', '341', '329', '337', '327', '342', '338']
['274', '278', '257', '269', '268', '259', '273']
['699', '687', '700', '696', '690', '698', '694']
['559', '537', '560', '557', '554', '556', '558']
['244', '234', '233', '245', '235', '240', '239']
['34', '30', '32', '11', '8', '15', '29']
['644', '656', '654', '652', '645', '655', '640']
['665', '660', '661', '658', '659', '642', '664']
['220', '238', '236', '219', '232', '237', '222']
['134', '138', '140', '131', '136', '132', '127']
['627', '624', '626', '630', '603', '628', '629']
['66', '44', '69', '48', '68', '49', '64']
['208', '204', '200', '206', '197', '209', '210']
['489', '488', '475', '486', '490', '484', '487']
['483', '466', '464', '467', '465', '468', '469']
['168', '150', '172', '154', '152', '153', '155']
['346', '349', '344', '345', '328', '326', '330']
['272', '266', '255', '270', '256', '281', '254']
['184', '203', '188', '186', '202', '201', '198']
['416', '418', '417', '410', '414', '415', '419']
['595', '583', '585', '581', '588', '589', '592']
['451', '450', '454', '452', '448', '449', '453']
['360', '361', '358', '359', '365', '364', '363']
['676', '675', '674', '679', '680', '689', '492']
['609', '605', '617', '606', '618', '608', '671']
['482', '600', '481', '318', '479', '478', '480']
['119', '115', '242', '128', '114', '117', '657']
['199', '147', '313', '189', '383', '187', '190']
['347', '305', '283', '308', '144', '307', '421']
['641', '145', '435', '139', '123', '223', '135']
['28', '22', '282', '355', '56', '27', '374']
['211', '622', '497', '528', '623', '621', '212']
['40', '409', '57', '566', '303', '411', '412']
['636', '512', '521', '277', '513', '102', '37']
['604', '287', '384', '462', '692', '5', '619']
['275', '1', '390', '633', '253', '523', '276']
['82', '561', '387', '47', '84', '79', '638']
['320', '643', '697', '284', '639', '38', '13']
['252', '662', '149', '516', '456', '424', '518']
['101', '672', '427', '24', '532', '321', '26']
['302', '167', '632', '213', '294', '520', '637']
['137', '514', '535', '625', '9', '249', '12']
['316', '339', '550', '181', '285', '323', '103']
['104', '493', '422', '6', '525', '443', '205']
['420', '357', '71', '214', '382', '517', '113']
['129', '31', '118', '353', '461', '41', '350']
['105', '322', '107', '485', '224', '250', '598']
['392', '459', '495', '446', '182', '146', '175']
['391', '2', '445', '286', '100', '130', '288']
['35', '634', '584', '677', '428', '529', '14']
['207', '548', '593', '163', '426', '243', '46']
['216', '325', '246', '693', '531', '142', '455']
['241', '372', '362', '533', '74', '226', '602']
['590', '111', '271', '179', '695', '267', '597']
['95', '666', '354', '248', '530', '564', '457']
['7', '72', '247', '215', '496', '180', '217']
['667', '36', '607', '108', '178', '4', '562']
['76', '67', '176', '75', '565', '524', '174']
['94', '310', '613', '177', '423', '395', '536']
['290', '39', '635', '106', '77', '183', '555']
['312', '279', '78', '460', '351', '25', '317']
['522', '670', '218', '393', '552', '568', '116']
['109', '458', '444', '653', '373', '389', '348']
['567', '315', '527', '324', '526', '678', '148']
['594', '631', '23', '3', '491', '143', '586']
['388', '386', '668', '591', '110', '356', '70']
['596', '141', '669', '251', '97', '33', '408']
['673', '494', '599', '112', '42', '319', '425']
['463', '352', '280', '289', '601', '563', '98']
['311', '171', '498', '688', '73', '43', '503']
