['451', '512', '290', '666', '246', '279', '329', '452', '657', '662', '213', '562', '3', '232', '326', '599', '750', '404', '698', '548', '212']
['286', '604', '164', '227', '355', '635', '751', '57', '22', '85', '178', '349', '547', '320', '145', '606', '587', '374', '485', '511', '480']
['380', '81', '368', '516', '112', '82', '685', '545', '544', '630', '347', '708', '641', '709', '342', '670', '111', '231', '650', '798', '433']
['771', '376', '171', '278', '66', '456', '80', '48', '88', '103', '682', '407', '431', '779', '726', '415', '791', '149', '229', '395', '728']
['381', '159', '714', '720', '755', '528', '554', '53', '203', '561', '73', '334', '636', '558', '94', '386', '535', '733', '133', '187', '423']
['752', '788', '236', '735', '716', '443', '499', '93', '437', '102', '617', '520', '174', '76', '291', '222', '209', '444', '304', '264', '457']
['559', '669', '315', '248', '527', '533', '84', '387', '172', '138', '426', '345', '655', '388', '529', '552', '161', '250', '183', '29', '555']
['314', '543', '204', '488', '693', '59', '71', '469', '382', '775', '317', '577', '140', '372', '6', '280', '310', '597', '56', '210', '348']
['316', '101', '681', '695', '86', '705', '162', '268', '460', '142', '154', '770', '603', '616', '590', '196', '185', '565', '440', '621', '389']
['596', '122', '104', '729', '391', '146', '796', '507', '324', '792', '524', '160', '296', '366', '218', '734', '534', '461', '207', '551', '721']
['257', '115', '36', '732', '478', '288', '370', '16', '180', '421', '239', '769', '38', '572', '117', '645', '414', '762', '508', '383', '254']
['711', '763', '283', '473', '272', '656', '483', '214', '586', '62', '731', '571', '702', '465', '718', '550', '338', '175', '492', '647', '790']
['610', '65', '416', '269', '361', '113', '700', '450', '87', '191', '741', '100', '637', '588', '67', '362', '618', '52', '706', '668', '405']
['1', '134', '481', '225', '200', '385', '538', '25', '226', '501', '312', '119', '521', '581', '176', '105', '151', '179', '194', '252', '432']
['109', '141', '683', '502', '541', '245', '244', '147', '68', '337', '542', '58', '364', '17', '795', '251', '411', '419', '323', '553', '378']
['234', '519', '567', '360', '418', '199', '242', '10', '436', '777', '333', '435', '453', '514', '427', '761', '593', '504', '688', '43', '649']
['753', '34', '20', '44', '794', '341', '55', '429', '11', '585', '249', '7', '574', '273', '8', '91', '284', '424', '723', '455', '190']
['781', '712', '18', '184', '356', '41', '42', '215', '400', '470', '299', '623', '255', '270', '776', '237', '601', '625', '282', '523', '664']
['744', '509', '537', '707', '622', '673', '626', '510', '513', '158', '412', '12', '95', '756', '449', '302', '292', '15', '321', '598', '221']
['477', '135', '301', '425', '106', '684', '28', '578', '83', '573', '768', '72', '703', '144', '783', '629', '97', '318', '127', '125', '692']
['63', '343', '253', '2', '157', '568', '627', '173', '47', '739', '275', '749', '206', '188', '746', '90', '181', '402', '787', '98', '503']
['633', '182', '396', '247', '30', '189', '675', '259', '357', '614', '774', '486', '45', '13', '27', '490', '369', '410', '498', '243', '592']
['392', '339', '220', '371', '583', '566', '351', '276', '737', '261', '648', '35', '118', '522', '379', '307', '472', '546', '458', '267', '575']
['493', '233', '497', '77', '605', '759', '335', '266', '9', '166', '448', '198', '793', '760', '745', '420', '689', '263', '54', '549', '697']
['293', '390', '676', '644', '442', '530', '782', '454', '696', '31', '690', '631', '137', '722', '139', '608', '468', '202', '281', '121', '5']
['228', '525', '78', '397', '632', '797', '651', '79', '350', '600', '628', '294', '446', '515', '748', '613', '569', '474', '33', '713', '408']
['609', '340', '494', '305', '75', '313', '413', '620', '165', '373', '126', '658', '500', '365', '607', '99', '298', '646', '256', '153', '747']
['780', '353', '582', '560', '238', '354', '704', '765', '563', '742', '594', '398', '21', '584', '772', '686', '506', '177', '384', '409', '344']
['495', '309', '346', '725', '589', '624', '114', '50', '691', '74', '786', '4', '403', '680', '289', '328', '201', '51', '64', '487', '430']
['208', '295', '240', '719', '417', '120', '496', '612', '660', '638', '757', '70', '170', '131', '136', '258', '331', '168', '332', '639', '297']
['727', '300', '634', '108', '89', '466', '287', '223', '715', '674', '740', '303', '687', '654', '643', '789', '265', '677', '336', '192', '285']
['447', '156', '230', '595', '96', '505', '358', '406', '785', '475', '570', '37', '484', '327', '92', '679', '659', '377', '123', '224', '642']
['375', '743', '274', '155', '439', '445', '128', '308', '46', '517', '148', '602', '40', '110', '471', '311', '197', '163', '518', '476', '61']
['129', '216', '699', '663', '701', '611', '778', '665', '330', '167', '322', '143', '394', '536', '132', '393', '591', '325', '271', '14', '694']
['211', '459', '169', '580', '399', '319', '422', '32', '531', '800', '564', '49', '367', '69', '241', '23', '306', '438', '186', '428', '540']
['667', '784', '557', '764', '107', '736', '467', '60', '678', '738', '217', '579', '710', '152', '724', '277', '671', '124', '532', '363', '205']
['773', '193', '434', '489', '19', '464', '556', '661', '615', '730', '219', '619', '260', '652', '195', '539', '758', '262', '401', '26', '754']
['717', '766', '39', '672', '653', '235', '150', '130', '526', '116', '441', '463', '359', '352', '767', '491', '482', '462', '799', '576', '640']
['24']
['479']
