['360', '691', '68', '92', '597', '693', '338', '708', '737', '97', '647', '54', '717', '565', '429', '1', '738', '87', '420', '538', '487', '362', '110', '458', '688', '732', '50', '12', '500', '29', '512', '222', '151', '637', '387', '269', '602', '685', '730', '389']
['586', '373', '683', '16', '516', '576', '138', '474', '654', '358', '452', '469', '630', '675', '696', '525', '167', '728', '340', '680', '128', '524', '8', '304', '334', '577', '720', '182', '383', '731', '76', '686', '370', '456', '280', '278', '657', '241', '620', '462']
['281', '433', '49', '702', '570', '548', '608', '230', '414', '121', '515', '237', '411', '0', '555', '322', '140', '410', '573', '428', '501', '89', '313', '488', '486', '124', '174', '18', '117', '381', '609', '326', '134', '368', '595', '619', '529', '190', '631', '535']
['47', '317', '519', '581', '599', '628', '729', '476', '436', '624', '30', '297', '261', '509', '259', '662', '560', '681', '721', '459', '318', '83', '206', '615', '431', '309', '187', '499', '60', '171', '119', '526', '5', '416', '493', '67', '575', '59', '38', '137']
['131', '44', '150', '239', '361', '53', '283', '558', '27', '437', '248', '671', '549', '663', '166', '198', '603', '33', '569', '337', '74', '380', '165', '180', '460', '255', '633', '606', '153', '504', '668', '71', '235', '90', '293', '724', '627', '445', '585', '347']
['300', '175', '312', '146', '705', '325', '651', '596', '574', '466', '298', '520', '335', '365', '533', '122', '136', '40', '427', '247', '463', '447', '528', '346', '227', '135', '566', '36', '471', '13', '144', '142', '518', '186', '214', '331', '177', '590', '707', '64']
['244', '35', '553', '24', '324', '438', '77', '353', '589', '723', '698', '507', '305', '684', '10', '676', '625', '207', '711', '622', '192', '202', '697', '120', '506', '148', '48', '478', '444', '356', '58', '568', '559', '215', '315', '607', '727', '329', '638', '391']
['126', '219', '102', '143', '616', '482', '256', '661', '556', '103', '163', '393', '612', '591', '249', '107', '557', '639', '287', '39', '3', '405', '6', '408', '17', '61', '588', '689', '540', '159', '149', '57', '400', '236', '632', '160', '100', '513', '115', '80']
['580', '199', '536', '226', '546', '726', '425', '384', '399', '271', '290', '238', '514', '262', '679', '243', '375', '435', '285', '579', '257', '522', '341', '129', '503', '333', '351', '258', '200', '363', '69', '517', '274', '470', '582', '626', '311', '164', '532', '642']
['492', '109', '327', '303', '395', '188', '221', '114', '541', '43', '270', '571', '618', '388', '700', '623', '265', '105', '301', '658', '439', '328', '498', '655', '284', '709', '601', '352', '678', '511', '88', '719', '232', '292', '544', '537', '246', '213', '364', '451']
['694', '510', '66', '266', '26', '330', '104', '713', '635', '25', '527', '343', '547', '72', '652', '392', '659', '289', '168', '212', '302', '55', '665', '85', '252', '530', '245', '718', '294', '434', '204', '646', '296', '306', '254', '37', '572', '485', '154', '725']
['156', '542', '369', '242', '448', '592', '176', '82', '413', '231', '424', '169', '739', '372', '178', '295', '357', '690', '545', '733', '84', '108', '562', '21', '490', '453', '467', '643', '398', '321', '342', '374', '583', '123', '494', '611', '267', '185', '430', '291']
['508', '666', '223', '272', '656', '79', '93', '465', '52', '505', '197', '550', '714', '14', '81', '382', '715', '660', '468', '695', '641', '648', '320', '682', '703', '692', '41', '613', '112', '417', '113', '314', '421', '734', '34', '348', '216', '706', '443', '23']
['534', '275', '118', '63', '604', '19', '141', '73', '412', '564', '543', '133', '42', '475', '250', '502', '155', '710', '158', '94', '736', '101', '644', '45', '145', '240', '379', '31', '157', '127', '276', '484', '98', '345', '523', '220', '179', '401', '184', '193']
['640', '419', '563', '130', '173', '442', '407', '472', '600', '670', '418', '233', '621', '355', '735', '404', '260', '610', '386', '308', '99', '339', '422', '9', '598', '473', '722', '95', '32', '22', '687', '56', '4', '554', '28', '479', '406', '203', '593', '712']
['263', '552', '415', '78', '91', '11', '489', '51', '584', '350', '344', '617', '288', '65', '371', '218', '208', '7', '336', '561', '196', '251', '496', '629', '636', '273', '446', '228', '161', '402', '195', '667', '449', '480', '125', '461', '225', '390', '277', '701']
['279', '649', '521', '423', '319', '189', '211', '191', '286', '673', '674', '531', '457', '634', '15', '367', '378', '677', '587', '385', '307', '162', '46', '396', '205', '310', '170', '594', '209', '366', '704', '75', '106', '464', '323', '349', '664', '96', '426', '495']
['551', '86', '253', '147', '672', '440', '210', '409', '152', '455', '62', '377', '450', '605', '194', '645', '669', '359', '376', '268', '264', '441', '70', '497', '2', '20', '394', '403', '397', '111', '699', '172', '567', '614', '181', '332', '650', '716', '483', '316']
['653', '116', '224', '217', '201', '354', '282', '183', '454', '477', '539', '139', '234', '132', '229', '578', '491', '481', '299', '432']
