['174', '50', '213', '928', '338', '347', '427', '267', '38', '962', '685', '375', '159', '747', '675', '738', '143', '953', '77', '72']
['381', '945', '274', '389', '864', '215', '787', '814', '16', '567', '632', '929', '452', '822', '89', '289', '914', '532', '877', '871']
['245', '64', '322', '73', '895', '538', '742', '965', '835', '39', '537', '332', '697', '557', '874', '230', '905', '911', '103', '6']
['639', '555', '15', '192', '902', '524', '828', '683', '656', '456', '269', '164', '315', '386', '875', '726', '790', '8', '181', '720']
['160', '355', '595', '561', '264', '940', '468', '354', '139', '401', '501', '358', '737', '807', '749', '34', '880', '212', '964', '368']
['802', '56', '687', '865', '657', '907', '535', '833', '146', '460', '403', '849', '387', '680', '68', '155', '944', '771', '991', '976']
['809', '956', '713', '446', '337', '759', '566', '287', '715', '997', '558', '1', '409', '851', '866', '488', '834', '411', '637', '442']
['925', '821', '579', '723', '98', '434', '972', '744', '233', '780', '49', '123', '169', '590', '628', '473', '55', '346', '654', '546']
['954', '967', '572', '209', '609', '504', '423', '391', '857', '220', '998', '96', '984', '915', '113', '869', '343', '845', '952', '576']
['450', '177', '960', '370', '458', '982', '244', '836', '482', '414', '718', '57', '732', '201', '652', '981', '750', '255', '326', '42']
['752', '505', '887', '256', '975', '601', '182', '979', '415', '321', '173', '586', '509', '700', '130', '133', '560', '543', '563', '891']
['846', '270', '97', '969', '116', '690', '642', '166', '92', '379', '365', '986', '770', '211', '503', '194', '364', '37', '47', '829']
['506', '621', '30', '550', '278', '559', '805', '108', '816', '811', '32', '329', '688', '803', '357', '132', '673', '36', '611', '421']
['791', '539', '199', '292', '225', '712', '25', '582', '232', '577', '837', '935', '385', '996', '589', '751', '237', '87', '51', '107']
['350', '541', '309', '345', '277', '335', '672', '84', '69', '394', '183', '939', '491', '2', '913', '933', '980', '324', '35', '897']
['366', '534', '383', '43', '480', '635', '818', '530', '214', '995', '425', '390', '648', '12', '318', '679', '13', '698', '993', '229']
['533', '912', '517', '756', '553', '825', '799', '259', '575', '580', '736', '360', '863', '398', '82', '319', '730', '120', '540', '861']
['227', '781', '806', '262', '31', '724', '544', '429', '496', '185', '812', '664', '581', '852', '761', '363', '254', '795', '870', '938']
['340', '353', '151', '323', '813', '569', '872', '424', '149', '205', '882', '48', '917', '631', '65', '372', '138', '556', '918', '70']
['522', '676', '734', '331', '607', '297', '721', '810', '388', '989', '114', '384', '755', '896', '301', '413', '455', '86', '583', '702']
['513', '826', '873', '947', '784', '959', '644', '844', '356', '502', '615', '296', '320', '703', '801', '699', '439', '904', '197', '207']
['888', '794', '53', '435', '380', '681', '122', '100', '689', '134', '79', '251', '104', '889', '764', '167', '99', '633', '115', '570']
['412', '172', '988', '479', '90', '922', '344', '457', '711', '658', '369', '202', '282', '568', '272', '299', '910', '26', '461', '671']
['19', '258', '961', '899', '304', '968', '260', '148', '410', '596', '305', '175', '512', '987', '75', '758', '516', '312', '497', '393']
['613', '920', '402', '616', '286', '800', '921', '819', '408', '416', '831', '293', '957', '823', '949', '515', '196', '739', '490', '893']
['266', '667', '302', '523', '773', '58', '552', '694', '83', '119', '131', '971', '308', '531', '636', '348', '789', '21', '422', '772']
['936', '554', '186', '525', '662', '54', '817', '783', '564', '625', '276', '970', '668', '443', '946', '444', '624', '195', '141', '218']
['351', '842', '217', '858', '117', '317', '714', '881', '848', '449', '847', '931', '198', '466', '193', '867', '748', '727', '707', '733']
['600', '608', '294', '832', '666', '614', '765', '440', '417', '88', '210', '349', '492', '716', '285', '528', '247', '135', '682', '268']
['184', '147', '152', '669', '856', '311', '602', '766', '221', '585', '476', '604', '263', '605', '467', '691', '890', '341', '334', '735']
['382', '3', '407', '484', '223', '325', '249', '80', '61', '283', '187', '150', '81', '740', '110', '419', '876', '478', '454', '0']
['436', '226', '529', '973', '396', '754', '536', '463', '660', '106', '336', '52', '592', '128', '359', '5', '486', '919', '792', '161']
['156', '67', '45', '154', '465', '804', '94', '11', '206', '280', '678', '376', '459', '91', '433', '994', '475', '610', '643', '170']
['101', '316', '629', '136', '663', '978', '300', '261', '719', '661', '767', '279', '126', '314', '547', '330', '551', '860', '165', '692']
['178', '762', '924', '883', '371', '447', '741', '462', '66', '574', '696', '901', '549', '645', '593', '163', '246', '22', '634', '125']
['310', '487', '453', '20', '955', '495', '438', '619', '367', '137', '71', '7', '542', '879', '176', '646', '655', '622', '500', '808']
['306', '59', '571', '999', '722', '190', '884', '950', '937', '265', '841', '775', '934', '859', '109', '121', '352', '640', '111', '638']
['943', '250', '618', '426', '431', '878', '451', '620', '827', '489', '216', '188', '142', '942', '102', '204', '333', '295', '191', '472']
['909', '518', '303', '307', '27', '17', '430', '705', '916', '219', '674', '760', '977', '481', '894', '627', '231', '885', '617', '327']
['830', '74', '932', '328', '591', '650', '743', '241', '729', '514', '474', '941', '706', '18', '594', '498', '41', '545', '992', '776']
['395', '854', '105', '599', '248', '746', '93', '63', '441', '405', '85', '448', '886', '796', '288', '573', '782', '203', '510', '10']
['704', '974', '963', '898', '951', '222', '623', '127', '240', '862', '242', '708', '118', '777', '208', '548', '76', '378', '612', '693']
['145', '168', '392', '527', '843', '239', '838', '626', '526', '647', '990', '903', '224', '236', '753', '235', '33', '985', '9', '508']
['507', '404', '651', '788', '445', '24', '29', '665', '855', '313', '641', '14', '839', '471', '565', '180', '840', '686', '774', '603']
