['451', '696', '94', '145']
['100', '421', '201', '160']
['601', '321', '746', '393']
['456', '389', '795', '217']
['409', '447', '332', '635']
['701', '207', '752', '440']
['2', '547', '606', '186']
['176', '39', '414', '525']
['613', '26', '780', '437']
['488', '353', '16', '188']
['534', '346', '546', '248']
['190', '396', '495', '382']
['184', '330', '83', '119']
['555', '366', '126', '516']
['378', '716', '703', '470']
['567', '428', '308', '65']
['416', '269', '448', '432']
['726', '561', '401', '683']
['653', '99', '240', '785']
['571', '163', '374', '368']
['671', '450', '359', '425']
['560', '345', '29', '499']
['531', '443', '180', '497']
['502', '349', '157', '32']
['285', '607', '5', '631']
['135', '721', '542', '729']
['344', '136', '568', '15']
['43', '154', '742', '489']
['80', '241', '3', '164']
['234', '748', '770', '279']
['592', '449', '549', '498']
['647', '284', '230', '687']
['471', '657', '570', '58']
['562', '786', '50', '34']
['636', '311', '714', '510']
['399', '744', '286', '400']
['261', '35', '590', '728']
['4', '576', '146', '185']
['326', '518', '602', '645']
['524', '709', '101', '659']
['745', '772', '727', '444']
['630', '693', '153', '747']
['14', '323', '779', '296']
['543', '718', '661', '292']
['165', '761', '169', '424']
['262', '599', '496', '206']
['667', '144', '731', '422']
['600', '593', '132', '769']
['127', '236', '552', '486']
['463', '215', '584', '402']
['306', '134', '799', '264']
['270', '147', '464', '328']
['66', '454', '10', '357']
['109', '768', '732', '81']
['71', '301', '587', '172']
['677', '268', '304', '195']
['686', '70', '666', '294']
['679', '364', '398', '350']
['219', '317', '322', '460']
['205', '477', '142', '446']
['442', '404', '245', '453']
['753', '574', '293', '532']
['675', '665', '387', '56']
['231', '337', '781', '500']
['41', '757', '501', '397']
['719', '514', '158', '676']
['408', '76', '591', '388']
['469', '89', '181', '723']
['492', '183', '156', '544']
['37', '750', '213', '436']
['623', '361', '715', '209']
['595', '685', '313', '258']
['539', '412', '49', '281']
['603', '110', '232', '578']
['504', '91', '369', '226']
['406', '530', '410', '739']
['250', '717', '75', '87']
['796', '690', '655', '287']
['759', '633', '239', '765']
['556', '596', '312', '77']
['244', '67', '192', '585']
['589', '300', '487', '784']
['777', '702', '318', '609']
['182', '617', '208', '125']
['143', '334', '579', '554']
['634', '384', '692', '298']
['290', '370', '792', '288']
['159', '526', '678', '277']
['553', '275', '197', '31']
['254', '385', '333', '575']
['573', '324', '21', '320']
['662', '513', '260', '624']
['177', '755', '708', '175']
['191', '604', '540', '7']
['455', '331', '749', '474']
['299', '189', '122', '737']
['117', '335', '60', '59']
['431', '394', '380', '529']
['700', '722', '586', '787']
['509', '212', '403', '734']
['538', '766', '598', '615']
['459', '536', '458', '698']
['341', '12', '639', '360']
['790', '55', '415', '484']
['672', '187', '104', '194']
['620', '352', '106', '479']
['506', '512', '120', '566']
['427', '38', '699', '642']
['764', '225', '13', '648']
['40', '441', '214', '649']
['259', '54', '754', '684']
['629', '8', '503', '640']
['282', '204', '289', '305']
['141', '756', '358', '644']
['78', '445', '211', '730']
['371', '704', '711', '351']
['508', '88', '771', '68']
['475', '18', '420', '130']
['563', '616', '273', '505']
['528', '347', '167', '597']
['472', '395', '199', '33']
['179', '235', '171', '519']
['680', '295', '651', '11']
['783', '423', '62', '515']
['46', '712', '674', '405']
['565', '97', '86', '118']
['673', '435', '224', '668']
['588', '375', '129', '707']
['74', '116', '96', '150']
['650', '367', '738', '594']
['462', '53', '632', '494']
['527', '473', '537', '626']
['22', '155', '476', '162']
['605', '622', '218', '654']
['200', '196', '316', '376']
['558', '625', '27', '682']
['139', '523', '627', '221']
['733', '137', '377', '342']
['178', '582', '47', '1']
['762', '580', '210', '102']
['725', '255', '418', '365']
['72', '419', '113', '614']
['152', '52', '608', '559']
['735', '758', '276', '794']
['51', '433', '776', '92']
['123', '468', '61', '267']
['355', '45', '461', '611']
['105', '25', '85', '108']
['637', '256', '23', '64']
['452', '168', '238', '166']
['720', '111', '793', '646']
['697', '138', '789', '658']
['641', '791', '493', '457']
['115', '82', '203', '373']
['760', '310', '343', '511']
['741', '242', '788', '638']
['84', '173', '691', '90']
['302', '705', '98', '253']
['581', '280', '390', '263']
['775', '327', '340', '6']
['348', '694', '325', '621']
['237', '411', '439', '233']
['42', '778', '44', '79']
['216', '533', '381', '507']
['93', '309', '36', '124']
['517', '485', '417', '274']
['57', '17', '19', '266']
['95', '315', '63', '774']
['478', '291', '520', '249']
['392', '112', '148', '356']
['551', '386', '0', '229']
['329', '438', '202', '48']
['618', '466', '107', '246']
['69', '660', '628', '303']
['491', '426', '339', '314']
['751', '413', '467', '681']
['223', '713', '257', '740']
['174', '736', '656', '483']
['545', '798', '548', '198']
['271', '643', '30', '480']
['20', '252', '429', '391']
['773', '383', '407', '797']
['610', '521', '557', '103']
['550', '251', '283', '222']
['193', '535', '319', '663']
['767', '652', '743', '73']
['669', '362', '363', '430']
['131', '782', '220', '695']
['619', '170', '297', '379']
['372', '434', '724', '564']
['151', '307', '24', '247']
['227', '490', '710', '140']
['763', '706', '121', '243']
['278', '541', '265', '465']
['28', '688', '9', '128']
['272', '354', '133', '336']
['577', '572', '583', '612']
['228', '114', '338', '670']
['482', '481', '569', '161']
['149', '522', '689', '664']
