['93', '395', '809', '358', '550', '763', '265', '596', '385', '72', '590', '524', '304', '209', '506', '566', '471', '686', '4', '186', '938', '646', '280', '311', '462', '986', '604', '238', '73', '903', '114', '713', '775', '830', '82', '413', '863', '527', '486', '740', '497', '690', '88', '444', '6', '408', '467', '255', '607', '803']
['492', '726', '666', '899', '472', '175', '468', '495', '647', '427', '136', '771', '971', '247', '122', '87', '821', '892', '323', '517', '846', '460', '294', '470', '296', '461', '479', '532', '347', '242', '152', '788', '412', '766', '353', '507', '313', '684', '285', '557', '101', '45', '834', '276', '937', '820', '558', '710', '744', '833']
['616', '154', '256', '63', '68', '661', '927', '191', '764', '670', '770', '854', '696', '923', '457', '257', '622', '720', '202', '473', '1', '752', '383', '426', '595', '177', '332', '216', '756', '193', '827', '35', '16', '964', '104', '414', '618', '340', '129', '995', '754', '336', '224', '379', '602', '153', '44', '401', '542', '797']
['552', '957', '683', '452', '262', '298', '466', '680', '40', '54', '659', '205', '36', '346', '75', '106', '731', '139', '28', '826', '878', '896', '642', '551', '11', '103', '944', '541', '791', '860', '194', '388', '700', '424', '305', '301', '739', '18', '499', '593', '282', '636', '127', '633', '107', '267', '727', '445', '299', '80']
['702', '928', '600', '785', '663', '300', '365', '918', '897', '926', '292', '840', '94', '682', '403', '774', '144', '932', '907', '491', '483', '185', '871', '534', '989', '230', '823', '62', '270', '635', '261', '865', '617', '844', '589', '155', '151', '182', '67', '748', '356', '74', '342', '504', '939', '21', '730', '742', '904', '592']
['640', '53', '303', '465', '759', '921', '974', '992', '977', '312', '714', '162', '334', '174', '949', '13', '876', '76', '924', '37', '716', '281', '508', '576', '510', '489', '450', '768', '176', '645', '140', '698', '662', '990', '284', '709', '317', '352', '753', '943', '988', '598', '8', '405', '953', '815', '816', '225', '796', '117']
['263', '361', '691', '850', '221', '15', '728', '404', '902', '396', '447', '326', '914', '575', '434', '568', '456', '567', '362', '110', '254', '485', '430', '851', '688', '409', '438', '121', '30', '723', '891', '798', '207', '545', '875', '171', '741', '20', '819', '864', '381', '882', '95', '490', '269', '71', '853', '98', '283', '956']
['895', '102', '147', '272', '143', '223', '934', '671', '584', '630', '428', '578', '737', '765', '459', '9', '351', '200', '722', '227', '738', '22', '980', '582', '751', '440', '505', '743', '795', '377', '166', '512', '847', '920', '498', '60', '511', '84', '387', '561', '894', '48', '240', '692', '583', '782', '845', '707', '3', '183']
['433', '867', '811', '521', '910', '188', '91', '137', '908', '708', '133', '501', '967', '310', '577', '39', '786', '478', '703', '664', '538', '975', '813', '955', '525', '836', '724', '275', '580', '24', '857', '801', '972', '288', '249', '560', '488', '264', '208', '569', '33', '870', '145', '963', '477', '180', '996', '606', '535', '277']
['804', '832', '189', '66', '824', '418', '805', '322', '243', '233', '651', '338', '382', '520', '760', '898', '746', '192', '594', '187', '868', '56', '487', '370', '38', '443', '627', '585', '970', '244', '239', '156', '848', '455', '778', '624', '591', '435', '502', '711', '697', '945', '232', '588', '321', '406', '229', '632', '657', '948']
['126', '199', '324', '906', '929', '555', '509', '81', '260', '537', '25', '307', '695', '341', '888', '392', '985', '562', '320', '799', '32', '55', '893', '493', '699', '172', '204', '965', '451', '241', '936', '118', '407', '951', '105', '475', '343', '125', '108', '116', '251', '883', '540', '968', '57', '417', '113', '685', '734', '784']
