['761', '757', '668', '678', '614', '321', '391', '275', '670', '428', '805', '234', '86', '456', '246', '193', '461', '345', '966', '401', '23', '945', '649', '647', '673', '289', '787', '696', '699', '754', '635', '295', '974', '225', '107', '260', '492', '715', '454', '720', '521', '270', '658', '502', '441', '20', '305', '348', '110', '382', '414', '230', '907', '196', '156', '166', '902', '706', '972', '351']
['326', '181', '285', '679', '650', '835', '143', '766', '890', '651', '404', '10', '901', '290', '778', '336', '884', '458', '34', '379', '892', '710', '467', '612', '773', '574', '96', '114', '1', '639', '364', '219', '33', '119', '28', '551', '732', '641', '803', '765', '593', '399', '771', '697', '88', '45', '941', '956', '306', '429', '274', '659', '666', '553', '824', '402', '432', '763', '204', '57']
['953', '611', '235', '447', '910', '12', '421', '738', '750', '546', '843', '79', '608', '970', '242', '95', '940', '534', '938', '268', '171', '905', '683', '654', '559', '368', '50', '160', '991', '735', '723', '538', '739', '603', '449', '685', '948', '30', '724', '677', '420', '392', '174', '669', '396', '508', '151', '734', '912', '847', '194', '167', '740', '71', '725', '113', '499', '352', '446', '154']
['850', '523', '357', '489', '694', '468', '483', '415', '497', '116', '897', '645', '807', '915', '395', '503', '665', '928', '821', '758', '155', '317', '202', '470', '840', '933', '530', '437', '59', '42', '638', '31', '482', '469', '281', '282', '618', '637', '263', '981', '524', '301', '177', '532', '782', '616', '187', '338', '826', '347', '4', '949', '121', '312', '313', '900', '302', '549', '842', '115']
['810', '239', '918', '942', '141', '165', '356', '589', '693', '66', '555', '491', '935', '982', '575', '173', '322', '876', '169', '81', '848', '490', '630', '692', '772', '231', '195', '894', '815', '541', '495', '315', '961', '506', '205', '610', '721', '355', '425', '984', '207', '598', '751', '299', '100', '510', '977', '911', '572', '82', '190', '689', '698', '522', '800', '136', '221', '987', '149', '133']
['820', '955', '73', '997', '921', '882', '210', '969', '24', '573', '344', '93', '16', '487', '318', '798', '552', '367', '533', '145', '41', '229', '453', '895', '519', '680', '875', '103', '615', '671', '983', '448', '527', '695', '403', '871', '333', '176', '380', '330', '271', '518', '457', '209', '626', '909', '869', '296', '464', '433', '56', '861', '410', '163', '662', '640', '717', '58', '101', '777']
['749', '775', '952', '870', '623', '365', '126', '63', '995', '845', '936', '681', '602', '858', '353', '134', '488', '343', '142', '528', '988', '222', '91', '590', '92', '161', '112', '84', '804', '25', '992', '756', '232', '409', '272', '792', '788', '140', '350', '509', '818', '808', '3', '713', '335', '690', '866', '879', '880', '797', '556', '459', '212', '632', '736', '117', '925', '463', '587', '863']
['108', '378', '801', '592', '228', '686', '408', '339', '269', '179', '211', '813', '844', '770', '774', '727', '150', '337', '273', '520', '311', '127', '76', '914', '435', '97', '479', '567', '438', '707', '340', '816', '913', '418', '361', '261', '118', '676', '373', '759', '931', '563', '346', '576', '922', '137', '742', '157', '542', '266', '596', '199', '985', '398', '846', '998', '811', '185', '354', '634']
['494', '135', '704', '744', '422', '960', '451', '930', '817', '400', '123', '663', '979', '258', '627', '878', '646', '853', '601', '256', '227', '544', '38', '17', '993', '604', '535', '51', '899', '947', '625', '49', '278', '14', '741', '561', '389', '360', '570', '436', '89', '320', '545', '120', '728', '939', '781', '558', '224', '809', '444', '68', '240', '32', '43', '478', '849', '450', '72', '716']
['980', '55', '526', '819', '904', '562', '594', '885', '279', '61', '251', '5', '138', '125', '328', '44', '424', '324', '973', '473', '674', '476', '790', '164', '83', '132', '600', '106', '255', '862', '591', '964', '865', '390', '703', '832', '507', '316', '94', '386', '919', '708', '147', '162', '462', '667', '691', '580', '52', '839', '937', '197', '967', '779', '852', '417', '394', '823', '208', '262']
['745', '746', '768', '170', '578', '480', '6', '644', '183', '54', '475', '958', '547', '908', '292', '851', '934', '700', '80', '990', '701', '18', '860', '189', '341', '375', '796', '633', '397', '642', '737', '986', '747', '548', '755', '419', '184', '924', '916', '372', '426', '412', '237', '358', '0', '146', '323', '203', '975', '474', '932', '682', '243', '999', '588', '917', '257', '554', '929', '996']
