['287', '48', '294', '184', '248', '33', '59', '118', '307', '69', '91', '136', '21', '303', '101', '318', '28', '102', '195', '12', '35', '214', '333', '154', '34', '191', '127', '261', '197', '274', '332', '226', '110', '121', '204', '114', '87', '133', '317', '8', '185', '54', '86', '220', '9', '139', '203', '289', '193', '32', '321', '334', '19', '84', '324']
['122', '237', '290', '313', '134', '77', '279', '186', '355', '299', '363', '189', '97', '89', '301', '26', '210', '326', '200', '246', '98', '188', '63', '138', '47', '90', '104', '41', '131', '276', '224', '137', '126', '345', '356', '338', '105', '152', '311', '31', '164', '153', '37', '320', '57', '183', '13', '263', '2', '66', '75', '264', '295', '76', '254']
['80', '258', '142', '5', '196', '170', '275', '216', '39', '141', '300', '120', '6', '343', '217', '147', '348', '198', '29', '17', '284', '233', '353', '14', '339', '18', '329', '257', '43', '64', '259', '93', '315', '308', '218', '123', '109', '357', '119', '166', '143', '182', '107', '175', '344', '297', '95', '292', '325', '178', '231', '207', '15', '117', '149']
['155', '268', '3', '115', '96', '280', '62', '359', '168', '61', '236', '205', '282', '335', '116', '125', '227', '135', '25', '219', '298', '241', '30', '278', '55', '322', '362', '323', '157', '336', '286', '79', '174', '249', '349', '171', '53', '40', '163', '240', '60', '340', '211', '291', '225', '146', '4', '244', '46', '213', '239', '309', '111', '222', '361']
['83', '215', '27', '296', '156', '260', '38', '306', '99', '144', '24', '10', '173', '67', '314', '11', '45', '346', '36', '285', '352', '128', '132', '245', '70', '253', '0', '140', '199', '85', '150', '272', '92', '250', '342', '158', '78', '277', '206', '49', '212', '56', '238', '81', '242', '58', '358', '270', '74', '302', '50', '347', '243', '113', '256']
['247', '235', '327', '328', '165', '169', '65', '234', '252', '68', '16', '20', '103', '230', '161', '208', '94', '341', '190', '100', '360', '179', '108', '354', '177', '167', '129', '221', '7', '23', '148', '228', '160', '52']
['202', '262', '283', '201']
['271', '1', '88']
['130', '181', '351']
['162', '229', '209']
['267', '266', '251']
['265', '310', '312']
['192', '44', '124']
['71', '273', '288']
['151', '305', '232']
['72', '42', '145']
['331', '73', '194']
['180', '187', '304']
['22', '176', '337']
['319', '293', '350']
['106', '82', '269']
['223', '281', '159']
['330', '51', '112']
['255', '316', '172']
