['a230', 'a454', 'a215', 'a255', 'a310', 'a421', 'a245', 'a207', 'a123', 'a92', 'a459', 'a56']
['a371', 'a149', 'a212', 'a116', 'a368', 'a342', 'a55', 'a67', 'a136', 'a267', 'a330', 'a416']
['a441', 'a268', 'a247', 'a15', 'a400', 'a203', 'a284', 'a269', 'a101', 'a440', 'a334', 'a58']
['a281', 'a448', 'a299', 'a98', 'a26', 'a292', 'a166', 'a82', 'a409', 'a358', 'a259', 'a323']
['a413', 'a347', 'a439', 'a151', 'a331', 'a457', 'a9', 'a275', 'a228', 'a187', 'a147', 'a143']
['a178', 'a150', 'a74', 'a359', 'a139', 'a77', 'a73', 'a240', 'a38', 'a175', 'a54', 'a80']
['a460', 'a4', 'a326', 'a469', 'a262', 'a251', 'a353', 'a433', 'a76', 'a329', 'a190', 'a339']
['a124', 'a118', 'a465', 'a109', 'a293', 'a177', 'a49', 'a256', 'a3', 'a253', 'a65', 'a138']
['a401', 'a105', 'a377', 'a47', 'a266', 'a162', 'a282', 'a8', 'a232', 'a184', 'a155', 'a322']
['a144', 'a318', 'a115', 'a317', 'a229', 'a83', 'a91', 'a227', 'a328', 'a244', 'a12', 'a291']
['a302', 'a445', 'a35', 'a81', 'a350', 'a62', 'a365', 'a224', 'a438', 'a188', 'a383', 'a386']
['a374', 'a305', 'a387', 'a34', 'a137', 'a104', 'a432', 'a186', 'a179', 'a444', 'a373', 'a381']
['a410', 'a200', 'a249', 'a315', 'a450', 'a263', 'a320', 'a107', 'a185', 'a64', 'a367', 'a196']
['a48', 'a93', 'a159', 'a451', 'a216', 'a202', 'a366', 'a248', 'a33', 'a172', 'a52', 'a273']
['a169', 'a314', 'a312', 'a96', 'a148', 'a476', 'a29', 'a130', 'a287', 'a471', 'a45', 'a157']
['a260', 'a19', 'a198', 'a430', 'a289', 'a46', 'a406', 'a437', 'a288', 'a236', 'a466', 'a87']
['a344', 'a180', 'a276', 'a429', 'a332', 'a335', 'a472', 'a210', 'a122', 'a419', 'a86', 'a10']
['a463', 'a134', 'a279', 'a395', 'a338', 'a183', 'a380', 'a78', 'a239', 'a389', 'a171', 'a152']
['a2', 'a394', 'a468', 'a337', 'a158', 'a391', 'a327', 'a308', 'a173', 'a298', 'a125', 'a225']
['a417', 'a108', 'a285', 'a397', 'a25', 'a431', 'a72', 'a69', 'a369', 'a242', 'a376', 'a362']
['a363', 'a197', 'a426', 'a340', 'a403', 'a199', 'a213', 'a5', 'a106', 'a89', 'a120', 'a206']
['a462', 'a420', 'a385', 'a50', 'a379', 'a270', 'a110', 'a382', 'a146', 'a261', 'a304', 'a119']
['a246', 'a103', 'a113', 'a88', 'a348', 'a127', 'a126', 'a182', 'a219', 'a343', 'a297', 'a461']
['a280', 'a402', 'a309', 'a17', 'a480', 'a94', 'a60', 'a360', 'a325', 'a75', 'a316', 'a174']
['a286', 'a40', 'a165', 'a164', 'a443', 'a71', 'a449', 'a129', 'a290', 'a458', 'a153', 'a390']
['a142', 'a68', 'a191', 'a412', 'a336', 'a241', 'a411', 'a345', 'a39', 'a223', 'a226', 'a192']
['a296', 'a13', 'a364', 'a195', 'a258', 'a283', 'a176', 'a53', 'a214', 'a160', 'a90', 'a455']
['a220', 'a140', 'a427', 'a321', 'a474', 'a51', 'a278', 'a37', 'a141', 'a361', 'a311', 'a424']
['a408', 'a415', 'a84', 'a313', 'a235', 'a135', 'a423', 'a351', 'a254', 'a456', 'a294', 'a32']
['a57', 'a399', 'a22', 'a271', 'a407', 'a61', 'a354', 'a63', 'a132', 'a324', 'a102', 'a295']
['a97', 'a243', 'a170', 'a100', 'a435', 'a6', 'a478', 'a303', 'a425', 'a452', 'a355', 'a467']
['a357', 'a356', 'a128', 'a341', 'a112', 'a95', 'a156', 'a20', 'a238', 'a277', 'a44', 'a392']
['a233', 'a272', 'a23', 'a405', 'a393', 'a161', 'a333', 'a252', 'a117', 'a181', 'a398', 'a418']
['a378', 'a114', 'a436', 'a222', 'a36', 'a66', 'a434', 'a111', 'a301', 'a464', 'a163', 'a274']
['a250', 'a306', 'a234', 'a43', 'a18', 'a194', 'a388', 'a346', 'a131', 'a414', 'a221', 'a319']
['a168', 'a300', 'a352', 'a404', 'a208', 'a231', 'a428', 'a211', 'a257', 'a470', 'a154', 'a31']
['a370', 'a70', 'a349', 'a59', 'a375', 'a30', 'a477', 'a479', 'a121', 'a209', 'a79', 'a42']
['a201', 'a422', 'a11', 'a133', 'a307', 'a193', 'a264', 'a384', 'a218', 'a204', 'a99', 'a447']
['a265', 'a453', 'a14', 'a237', 'a189', 'a217', 'a85', 'a396', 'a145', 'a167', 'a446', 'a475']
['a473', 'a28', 'a16', 'a442', 'a7', 'a27', 'a372', 'a41', 'a1', 'a205', 'a21', 'a24']
