['66', '306', '160', '427', '216', '210', '19', '125', '74', '486', '51', '444', '440', '162', '291', '499', '408', '64', '169', '303']
['341', '130', '7', '441', '217', '214', '276', '75', '69', '498', '326', '119', '230', '412', '450', '40', '479', '453', '420', '205']
['348', '251', '84', '3', '85', '186', '264', '437', '38', '229', '443', '31', '129', '329', '405', '78', '272', '234', '459', '12']
['452', '152', '10', '269', '422', '491', '393', '312', '2', '168', '260', '60', '34', '324', '284', '434', '374', '252', '24', '187']
['185', '288', '266', '86', '70', '26', '116', '155', '211', '461', '310', '449', '15', '188', '131', '309', '387', '298', '338', '42']
['497', '204', '289', '377', '485', '430', '415', '237', '398', '247', '431', '96', '177', '488', '170', '89', '376', '474', '141', '263']
['340', '30', '138', '424', '179', '283', '21', '198', '302', '468', '350', '268', '388', '45', '275', '467', '55', '87', '107', '158']
['301', '317', '315', '308', '67', '202', '442', '337', '227', '281', '103', '344', '293', '321', '249', '403', '44', '372', '325', '386']
['353', '417', '99', '454', '11', '335', '113', '109', '246', '250', '183', '458', '181', '375', '267', '25', '111', '328', '368', '63']
['213', '192', '265', '93', '150', '494', '343', '59', '161', '347', '296', '418', '223', '480', '14', '300', '212']
['477', '97', '191', '367']
['173', '61', '221', '455']
['411', '101', '167', '197']
['145', '371', '456', '236']
['238', '327', '482', '166']
['200', '311', '76', '117']
['243', '32', '146', '262']
['490', '242', '201', '355']
['123', '445', '323', '189']
['305', '382', '277', '241']
['493', '82', '460', '448']
['419', '457', '286', '392']
['18', '235', '365', '37']
['54', '352', '299', '149']
['345', '334', '95', '218']
['50', '144', '295', '47']
['478', '261', '484', '271']
['98', '52', '231', '438']
['219', '396', '215', '481']
['80', '157', '278', '46']
['71', '416', '279', '346']
['196', '259', '153', '91']
['39', '171', '362', '373']
['110', '62', '128', '492']
['359', '104', '294', '339']
['292', '122', '378', '148']
['381', '226', '451', '135']
['496', '225', '133', '228']
['394', '379', '423', '140']
['401', '132', '470', '402']
['244', '428', '255', '20']
['254', '68', '414', '134']
['413', '81', '120', '391']
['16', '41', '137', '366']
['208', '319', '72', '33']
['397', '425', '435', '106']
['385', '358', '92', '58']
['356', '313', '354', '258']
['240', '270', '174']
['6', '203', '304']
['207', '164', '115']
['53', '380', '471']
['8', '446', '395']
['184', '495', '500']
['163', '73', '65']
['151', '364', '100']
['232', '114', '297']
['194', '159', '49']
['195', '180', '409']
['5', '447', '489']
['314', '142', '36']
['209', '432', '220']
['27', '88', '222']
['77', '29', '190']
['307', '4', '172']
['404', '282', '351']
['23', '9', '13']
['383', '464', '369']
['426', '475', '357']
['239', '143', '361']
['224', '233', '410']
['206', '336', '333']
['17', '463', '253']
['48', '280', '22']
['124', '156', '248']
['112', '118', '287']
['43', '273', '178']
['193', '331', '407']
['389', '256', '370']
['139', '322', '342']
['360', '176', '56']
['320', '199', '285']
['35', '79', '108']
['349', '390', '105']
['399', '127', '147']
['487', '465', '439']
['154', '436', '83']
['406', '182', '318']
['28', '102', '476']
['257', '363', '473']
['384', '57', '165']
['290', '1', '469']
['483', '332', '136']
['245', '316', '472']
['466', '175', '330']
['400', '462']
['429', '121']
['90', '421']
['94', '433']
['274', '126']
