['421', '425', '426']
['95', '88', '96']
['222', '217', '221']
['39', '44', '43']
['293', '294', '289']
['30', '29', '25']
['361', '366', '365']
['215', '216', '208']
['323', '316', '324']
['6', '1', '5']
['109', '114', '113']
['478', '470', '477']
['240', '239', '232']
['161', '162', '157']
['130', '122', '129']
['451', '447', '452']
['89', '85', '90']
['156', '148', '155']
['384', '376', '383']
['194', '201', '202']
['167', '168', '160']
['480', '479', '472']
['13', '17', '18']
['158', '165', '166']
['64', '71', '72']
['4', '12', '11']
['476', '475', '471']
['190', '189', '182']
['70', '62', '69']
['55', '51', '56']
['332', '331', '327']
['392', '391', '387']
['371', '364', '372']
['218', '225', '226']
['53', '49', '54']
['406', '405', '398']
['380', '379', '375']
['453', '454', '446']
['347', '340', '348']
['467', '460', '468']
['112', '120', '119']
['301', '306', '305']
['187', '183', '188']
['465', '466', '458']
['214', '206', '213']
['388', '396', '395']
['449', '445', '450']
['335', '328', '336']
['9', '10', '2']
['298', '297', '290']
['424', '432', '431']
['433', '437', '438']
['401', '402', '397']
['35', '36', '28']
['469', '474', '473']
['278', '286', '285']
['66', '65', '61']
['33', '34', '26']
['150', '145', '149']
['270', '269', '265']
['142', '141', '134']
['341', '342', '337']
['357', '358', '350']
['390', '385', '389']
['393', '386', '394']
['317', '318', '313']
['179', '172', '180']
['140', '135', '139']
['153', '146', '154']
['284', '279', '283']
['81', '82', '74']
['309', '302', '310']
['104', '103', '99']
['435', '439', '440']
['184', '191', '192']
['456', '448', '455']
['404', '399', '403']
['339', '344', '343']
['19', '15', '20']
['410', '417', '418']
['234', '233', '229']
['3', '8', '7']
['442', '441', '434']
['267', '272', '271']
['412', '420', '419']
['185', '186', '181']
['126', '125', '121']
['227', '220', '228']
['436', '443', '444']
['27', '32', '31']
['164', '159', '163']
['170', '177', '178']
['102', '101', '97']
['359', '352', '360']
['255', '260', '259']
['273', '266', '274']
['276', '268', '275']
['381', '374', '382']
['367', '368', '363']
['370', '369', '362']
['45', '38', '46']
['287', '280', '288']
['131', '124', '132']
['108', '100', '107']
['244', '252', '251']
['48', '47', '40']
['115', '116', '111']
['73', '77', '78']
['408', '400', '407']
['37', '42', '41']
['329', '330', '325']
['195', '199', '200']
['334', '326', '333']
['151', '152', '147']
['311', '304', '312']
['354', '349', '353']
['245', '246', '241']
['106', '105', '98']
['92', '91', '87']
['58', '50', '57']
['264', '256', '263']
['110', '118', '117']
['138', '133', '137']
['60', '52', '59']
['143', '144', '136']
['257', '253', '258']
['296', '291', '295']
['210', '205', '209']
['219', '224', '223']
['429', '430', '422']
['464', '459', '463']
['67', '63', '68']
['308', '303', '307']
['423', '427', '428']
['203', '196', '204']
['198', '197', '193']
['23', '16', '24']
['457', '462', '461']
['320', '319', '315']
['171', '176', '175']
['238', '237', '230']
['281', '282', '277']
['76', '84', '83']
['86', '94', '93']
['14', '21', '22']
['299', '292', '300']
['236', '231', '235']
['173', '169', '174']
['262', '261', '254']
['247', '243', '248']
['212', '207', '211']
['79', '75', '80']
['127', '123', '128']
['250', '242', '249']
['345', '346', '338']
['378', '377', '373']
['314', '322', '321']
['409', '414', '413']
['415', '411', '416']
['351', '355', '356']
