['10', '428', '395', '410', '431']
['106', '127', '77', '51', '95']
['337', '325', '179', '340', '209']
['254', '240', '246', '270', '404']
['5', '199', '211', '277', '480']
['226', '55', '27', '70', '40']
['470', '261', '443', '328', '367']
['482', '18', '156', '104', '218']
['203', '298', '424', '269', '454']
['464', '420', '436', '383', '1']
['304', '296', '242', '485', '452']
['33', '318', '398', '149', '61']
['479', '219', '176', '157', '2']
['110', '190', '231', '210', '216']
['138', '213', '382', '24', '477']
['237', '249', '302', '384', '66']
['28', '427', '206', '83', '19']
['335', '486', '25', '36', '54']
['299', '418', '435', '245', '341']
['89', '426', '351', '434', '32']
['4', '353', '276', '161', '11']
['446', '327', '107', '386', '442']
['101', '373', '440', '147', '374']
['280', '194', '228', '62', '60']
['306', '271', '102', '224', '76']
['346', '278', '57', '293', '419']
['80', '301', '53', '207', '448']
['460', '377', '7', '387', '451']
['263', '88', '74', '457', '265']
['356', '125', '256', '311', '290']
['469', '494', '423', '234', '322']
['22', '449', '326', '100', '453']
['136', '405', '223', '167', '78']
['336', '338', '284', '381', '496']
['392', '499', '368', '112', '192']
['366', '235', '134', '153', '169']
['151', '316', '13', '465', '185']
['42', '97', '230', '162', '406']
['447', '498', '455', '29', '14']
['417', '332', '310', '414', '339']
['475', '21', '152', '412', '165']
['285', '30', '281', '389', '279']
['86', '497', '462', '289', '307']
['330', '52', '85', '363', '108']
['43', '92', '168', '476', '46']
['181', '376', '188', '236', '273']
['137', '350', '258', '109', '408']
['320', '175', '193', '174', '220']
['474', '9', '378', '471', '124']
['142', '300', '490', '155', '177']
['343', '466', '198', '222', '361']
['91', '212', '483', '202', '257']
['84', '130', '267', '17', '123']
['87', '186', '493', '252', '68']
['8', '75', '484', '468', '433']
['15', '255', '34', '189', '96']
['287', '401', '282', '225', '227']
['71', '172', '461', '204', '117']
['390', '445', '128', '303', '64']
['403', '297', '400', '113', '295']
['140', '37', '458', '129', '111']
['197', '438', '195', '184', '126']
['492', '347', '407', '314', '393']
['317', '409', '183', '380', '495']
['250', '0', '253', '422', '432']
['439', '141', '191', '342', '262']
['309', '229', '399', '47', '370']
['90', '379', '44', '58', '67']
['243', '313', '375', '391', '331']
['182', '344', '430', '171', '178']
['120', '6', '233', '329', '259']
['467', '35', '394', '388', '154']
['170', '39', '244', '221', '429']
['450', '397', '12', '415', '308']
['69', '164', '45', '264', '143']
['274', '94', '324', '425', '275']
['360', '187', '291', '268', '158']
['348', '437', '145', '163', '260']
['135', '416', '473', '116', '402']
['114', '371', '333', '488', '119']
['65', '323', '292', '456', '63']
['23', '148', '56', '81', '144']
['421', '73', '122', '315', '205']
['214', '487', '201', '272', '132']
['319', '103', '79', '369', '312']
['489', '150', '146', '266', '294']
['131', '159', '3', '472', '26']
['349', '121', '72', '444', '491']
['20', '359', '160', '180', '215']
['238', '247', '357', '166', '441']
['115', '118', '463', '99', '478']
['305', '93', '105', '248', '217']
['321', '413', '362', '358', '354']
['283', '286', '411', '372', '49']
['396', '355', '385', '133', '352']
['16', '196', '364', '48', '50']
['251', '288', '38', '31', '459']
['82', '345', '334', '59', '173']
['365', '200', '98', '239', '41']
['241', '208', '232']
['139', '481']
