['a2', 'a98', 'a165', 'a118', 'a108', 'a246', 'a105', 'a19', 'a216', 'a349', 'a237', 'a59', 'a122', 'a99', 'a209', 'a3', 'a86', 'a184', 'a373', 'a396']
['a93', 'a296', 'a114', 'a68', 'a82', 'a300', 'a15', 'a382', 'a170', 'a146', 'a207', 'a261', 'a269', 'a1', 'a125', 'a69', 'a187', 'a226', 'a294', 'a138']
['a48', 'a220', 'a260', 'a149', 'a103', 'a309', 'a7', 'a47', 'a227', 'a29', 'a210', 'a176', 'a211', 'a342', 'a328', 'a213', 'a267', 'a204', 'a44', 'a80']
['a344', 'a280', 'a250', 'a249', 'a215', 'a399', 'a397', 'a364', 'a206', 'a55', 'a72', 'a5', 'a346', 'a156', 'a173', 'a386', 'a240', 'a311', 'a10', 'a361']
['a88', 'a96', 'a268', 'a16', 'a150', 'a51', 'a14', 'a368', 'a41', 'a384', 'a333', 'a239', 'a37', 'a290', 'a39', 'a224', 'a179', 'a45', 'a390', 'a196']
['a312', 'a23', 'a332', 'a313', 'a375', 'a151', 'a198', 'a372', 'a60', 'a73', 'a132', 'a46', 'a275', 'a365', 'a345', 'a76', 'a75', 'a219', 'a17', 'a54']
['a378', 'a371', 'a306', 'a200', 'a285', 'a178', 'a62', 'a366', 'a317', 'a352', 'a74', 'a259', 'a177', 'a161', 'a78', 'a266', 'a24', 'a131', 'a236', 'a376']
['a142', 'a374', 'a26', 'a33', 'a197', 'a293', 'a279', 'a128', 'a49', 'a199', 'a258', 'a91', 'a71', 'a282', 'a92', 'a358', 'a351', 'a343', 'a119', 'a297']
['a302', 'a234', 'a66', 'a36', 'a158', 'a194', 'a327', 'a388', 'a112', 'a77', 'a241', 'a95', 'a205', 'a0', 'a101', 'a398', 'a232', 'a316', 'a339', 'a102']
['a124', 'a140', 'a230', 'a394', 'a329', 'a186', 'a336', 'a202', 'a109', 'a65', 'a245', 'a104', 'a130', 'a167', 'a143', 'a153', 'a218', 'a89', 'a301', 'a155']
['a272', 'a22', 'a385', 'a50', 'a243', 'a337', 'a356', 'a307', 'a183', 'a172', 'a380', 'a264', 'a145', 'a162', 'a53', 'a111', 'a251', 'a222', 'a154', 'a87']
['a169', 'a265', 'a314', 'a318', 'a281', 'a81', 'a321', 'a340', 'a18', 'a85', 'a193', 'a252', 'a160', 'a181', 'a52', 'a64', 'a319', 'a152', 'a334', 'a157']
['a221', 'a57', 'a299', 'a11', 'a292', 'a133', 'a195', 'a348', 'a127', 'a137', 'a326', 'a257', 'a21', 'a117', 'a389', 'a323', 'a330', 'a367', 'a32', 'a174']
['a370', 'a387', 'a247', 'a347', 'a164', 'a208', 'a335', 'a231', 'a391', 'a283', 'a139', 'a83', 'a262', 'a6', 'a147', 'a8', 'a141', 'a175', 'a31', 'a362']
['a305', 'a113', 'a13', 'a84', 'a148', 'a25', 'a43', 'a310', 'a395', 'a315', 'a379', 'a235', 'a115', 'a67', 'a126', 'a121', 'a217', 'a331', 'a225', 'a238']
['a201', 'a97', 'a350', 'a191', 'a4', 'a189', 'a354', 'a20', 'a393', 'a27', 'a182', 'a123', 'a244', 'a369', 'a12', 'a298', 'a288', 'a120', 'a322', 'a381']
['a144', 'a40', 'a233', 'a168', 'a159', 'a180', 'a338', 'a248', 'a341', 'a223', 'a256', 'a308', 'a242', 'a325', 'a304', 'a360', 'a291', 'a274', 'a273', 'a58']
['a363', 'a70', 'a276', 'a28', 'a255', 'a377', 'a134', 'a94', 'a359', 'a30', 'a135', 'a278', 'a106', 'a185', 'a136', 'a287', 'a38', 'a324', 'a254', 'a277']
['a357', 'a271', 'a286', 'a35', 'a34', 'a229', 'a263', 'a203', 'a129', 'a320', 'a289', 'a9', 'a353', 'a303', 'a79', 'a190', 'a383', 'a100', 'a355', 'a295']
['a212', 'a166', 'a270', 'a61', 'a110', 'a116', 'a63', 'a107', 'a284', 'a214', 'a228', 'a90', 'a253', 'a188', 'a163', 'a42', 'a171', 'a56', 'a192', 'a392']
