['s143', 's266', 's42', 's4', 's17', 's244', 's214', 's114', 's407', 's179']
['s77', 's215', 's53', 's153', 's340', 's308', 's423', 's152', 's435', 's171']
['s201', 's329', 's342', 's26', 's310', 's474', 's191', 's90', 's144', 's472']
['s166', 's469', 's200', 's445', 's263', 's439', 's186', 's264', 's366', 's388']
['s190', 's84', 's139', 's126', 's51', 's74', 's248', 's324', 's384', 's20']
['s270', 's305', 's54', 's462', 's162', 's273', 's123', 's0', 's45', 's368']
['s29', 's371', 's66', 's111', 's89', 's458', 's325', 's208', 's245', 's226']
['s276', 's234', 's24', 's321', 's262', 's128', 's381', 's470', 's475', 's94']
['s27', 's217', 's358', 's137', 's130', 's124', 's87', 's429', 's345', 's155']
['s391', 's441', 's188', 's209', 's80', 's213', 's408', 's223', 's95', 's313']
['s101', 's65', 's453', 's103', 's335', 's437', 's376', 's348', 's418', 's336']
['s379', 's138', 's444', 's464', 's479', 's132', 's5', 's97', 's13', 's440']
['s406', 's86', 's46', 's294', 's397', 's377', 's447', 's330', 's491', 's497']
['s173', 's142', 's243', 's414', 's394', 's202', 's427', 's163', 's91', 's81']
['s277', 's47', 's352', 's393', 's369', 's338', 's93', 's404', 's450', 's159']
['s390', 's451', 's36', 's41', 's297', 's78', 's120', 's28', 's460', 's49']
['s322', 's334', 's193', 's220', 's194', 's411', 's225', 's487', 's254', 's1']
['s129', 's168', 's158', 's106', 's430', 's14', 's347', 's88', 's154', 's316']
['s73', 's314', 's483', 's119', 's285', 's199', 's23', 's185', 's271', 's224']
['s136', 's32', 's16', 's60', 's468', 's218', 's83', 's256', 's109', 's253']
['s476', 's184', 's442', 's480', 's456', 's62', 's56', 's100', 's267', 's467']
['s295', 's31', 's362', 's499', 's34', 's222', 's326', 's230', 's304', 's354']
['s236', 's6', 's288', 's287', 's11', 's207', 's113', 's461', 's57', 's272']
['s422', 's493', 's495', 's50', 's146', 's448', 's174', 's118', 's240', 's257']
['s344', 's351', 's122', 's96', 's413', 's282', 's459', 's485', 's293', 's465']
['s409', 's339', 's279', 's457', 's161', 's383', 's172', 's341', 's482', 's48']
['s481', 's134', 's63', 's436', 's290', 's52', 's357', 's12', 's374', 's232']
['s175', 's37', 's255', 's141', 's197', 's176', 's311', 's157', 's389', 's160']
['s454', 's246', 's180', 's258', 's382', 's421', 's432', 's71', 's281', 's76']
['s486', 's237', 's419', 's239', 's68', 's21', 's238', 's133', 's360', 's380']
['s261', 's38', 's192', 's242', 's306', 's417', 's280', 's15', 's301', 's496']
['s187', 's3', 's30', 's182', 's356', 's488', 's463', 's452', 's302', 's156']
['s443', 's85', 's39', 's350', 's312', 's498', 's72', 's410', 's296', 's140']
['s181', 's221', 's364', 's367', 's473', 's127', 's170', 's361', 's489', 's392']
['s116', 's284', 's471', 's286', 's151', 's425', 's412', 's177', 's331', 's484']
['s241', 's169', 's33', 's115', 's69', 's135', 's274', 's211', 's317', 's203']
['s108', 's92', 's205', 's446', 's99', 's219', 's395', 's396', 's148', 's212']
['s433', 's315', 's328', 's332', 's131', 's260', 's401', 's251', 's105', 's107']
['s363', 's18', 's149', 's400', 's333', 's189', 's337', 's349', 's359', 's25']
['s22', 's9', 's167', 's269', 's102', 's67', 's303', 's247', 's165', 's117']
['s283', 's327', 's490', 's35', 's196', 's110', 's79', 's387', 's402', 's370']
['s346', 's291', 's250', 's7', 's229', 's98', 's206', 's375', 's164', 's320']
['s125', 's289', 's145', 's2', 's373', 's438', 's40', 's235', 's318', 's416']
['s55', 's233', 's431', 's8', 's434', 's104', 's449', 's478', 's178', 's265']
['s61', 's428', 's231', 's323', 's415', 's365', 's455', 's112', 's43', 's216']
['s10', 's386', 's343', 's204', 's292', 's58', 's307', 's420', 's75', 's252']
['s59', 's275', 's299', 's44', 's378', 's183', 's150', 's309', 's259', 's426']
['s198', 's405', 's466', 's64', 's477', 's82', 's195', 's298', 's268', 's300']
['s227', 's424', 's492', 's147', 's353', 's249']
['s19', 's228', 's278', 's399', 's494', 's403']
['s121', 's385', 's319', 's70']
['s372', 's210', 's355', 's398']
