['D24', 'A24', 'B24']
['A17', 'B17', 'D17']
['B5', 'D5', 'A5']
['B40', 'D40', 'A40']
['A35', 'D35', 'B35']
['D29', 'B29', 'A29']
['D4', 'A4', 'B4']
['D15', 'B15', 'A15']
['A30', 'D30', 'B30']
['D6', 'B6', 'A6']
['A23', 'B23', 'D23']
['D25', 'B25', 'A25']
['B11', 'D11', 'A11']
['A26', 'D26', 'B26']
['A36', 'B36', 'D36']
['D18', 'B18', 'A18']
['D28', 'A28', 'B28']
['B19', 'D19', 'A19']
['D21', 'B21', 'A21']
['A32', 'B32', 'D32']
['D2', 'B2', 'A2']
['B37', 'A37', 'D37']
['D20', 'A20', 'B20']
['A49', 'B49', 'D49']
['A27', 'D27', 'B27']
['B46', 'D46', 'A46']
['A22', 'B22', 'D22']
['D52', 'A52', 'B52']
['D39', 'A39', 'B39']
['D12', 'A12', 'B12']
['B54', 'A54', 'D54']
['A0', 'B0', 'D0']
['B10', 'D10', 'A10']
['D16', 'A16', 'B16']
['D13', 'B13', 'A13']
['B51', 'D51', 'A51']
['D3', 'A3', 'B3']
['B9', 'A9', 'D9']
['D1', 'B1', 'A1']
['A38', 'B38', 'D38']
['A45', 'D45', 'B45']
['D8', 'B8', 'A8']
['A33', 'D33', 'B33']
['A34', 'B34', 'D34']
['A41', 'D41', 'B41']
['B14', 'D14', 'A14']
['B43', 'D43', 'A43']
['B31', 'D31', 'A31']
['D48', 'A48', 'B48']
['D7', 'A7', 'B7']
['B50', 'D50', 'A50']
['B53', 'D53', 'A53']
['A44', 'B44', 'D44']
['B42', 'D42', 'A42']
['A47', 'B47', 'D47']
['G40', 'H40', 'E40']
['E24', 'G24', 'H24']
['H50', 'F50', 'E50']
['E6', 'H5', 'H6']
['H41', 'H42', 'E41']
['G44', 'E44', 'H44']
['H46', 'G46', 'E46']
['H31', 'G31', 'E31']
['H2', 'H1', 'E1']
['F11', 'E11', 'G11']
['G20', 'F20', 'E20']
['G7', 'E7', 'H7']
['E12', 'H12', 'H11']
['F16', 'G16', 'E16']
['F43', 'E43', 'G43']
['F19', 'E19', 'G19']
['E2', 'G2', 'F2']
['G42', 'E42', 'F42']
['F5', 'E5', 'G5']
['F54', 'E54', 'G54']
['H34', 'E34', 'G34']
['G22', 'F22', 'E22']
['G49', 'E49', 'H49']
['H47', 'E47', 'F47']
['H8', 'F8', 'E8']
['F21', 'E21', 'G21']
['G48', 'F48', 'E48']
['G29', 'H29', 'E29']
['H36', 'F36', 'E36']
['E51', 'G51', 'F51']
['F15', 'E15', 'G15']
['F38', 'H38', 'E38']
['H25', 'E25', 'G25']
['F53', 'G53', 'E53']
['H10', 'G10', 'E10']
['H32', 'E32', 'G32']
['G28', 'F28', 'E28']
['H0', 'F0', 'E0']
['G13', 'E13', 'H13']
['H35', 'G35', 'E35']
['G27', 'F27', 'E27']
['E3', 'G3', 'F3']
['F37', 'H37', 'E37']
['G33', 'E33', 'F33']
['H4', 'F4', 'E4']
['F23', 'H23', 'E23']
['F45', 'G45', 'E45']
['F26', 'E26', 'G26']
['F39', 'H39', 'E39']
['E52', 'H52', 'F52']
['G9', 'E9', 'F9']
['G18', 'H18', 'E18']
['E17', 'G17', 'F17']
['F14', 'G14', 'E14']
['G30', 'F30', 'E30']
['23', 'C15', 'C14']
['C5', 'C4', '18']
['42', 'C10', 'C11']
['25', 'C24', 'C25']
['C52', '14', 'C53']
['C19', 'C18', '16']
['6', 'H19', 'H20']
['C27', 'C26', '24']
['31', 'C45', 'C44']
['C36', '5', 'C37']
['52', 'C12', 'C13']
['C30', 'C31', '57']
['C35', 'C34', '50']
['C43', 'C42', '51']
['C0', '11', 'C1']
['C29', 'C28', '32']
['C16', 'C17', '20']
['C38', 'C39', '21']
['C20', 'C21', '58']
['C2', 'C3', '9']
['C6', '48', 'C7']
['C49', '40', 'C48']
['56', 'H22', 'H21']
['C51', '46', 'C50']
['C40', 'C41', '54']
['1', 'H27', 'H28']
['C47', 'C46', '28']
['C22', '45', 'C23']
['38', 'H16', 'H15']
['C8', 'C9', '44']
['C32', 'C33', '27']
['H54', '22', 'H53']
['15', 'G1', '30']
['26', 'F24', 'G47']
['F41', 'F40', '4']
['G6', 'F25', '55']
['F31', 'F46', '2']
['3', 'H33', 'F34']
['G41', 'F29', '29']
['34', 'F7', 'F32']
['G12', '13', 'G0']
['F13', '36', 'F12']
['0', 'H14', '35']
['41', 'F1', 'H48']
['47', 'F44', 'G50']
['G36', '53', 'H3']
['H9', '10', 'F18']
['G23', '17', 'G39']
['F35', '19', '37']
['49', 'G38', 'G8']
['33', 'G37', 'G4']
['7', 'H43', '59']
['F6', 'G52', '12']
['F10', '39', 'C54']
['H30', 'H51', '8']
['F49', 'H45', '43']
['H26', 'H17']
