['32', '264', '320', '492', '344', '123', '89', '63', '435', '470', '99', '440', '301', '352', '479', '497', '439', '204', '430']
['29', '396', '162', '28', '386', '446', '34', '269', '433', '196', '467', '20', '332', '385', '231', '457', '390', '427', '468']
['177', '15', '292', '410', '80', '75', '113', '149', '379', '102', '39', '464', '23', '463', '119', '121', '289', '496', '68']
['86', '197', '432', '254', '108', '384', '148', '70', '349', '376', '405', '137', '109', '312', '403', '334', '404', '142', '398']
['304', '79', '243', '65', '181', '133', '7', '273', '444', '466', '409', '328', '358', '66', '331', '195', '414', '157', '97']
['172', '216', '53', '347', '259', '165', '223', '129', '296', '154', '482', '163', '429', '114', '188', '124', '111', '103', '295']
['110', '297', '327', '85', '330', '136', '122', '283', '378', '310', '456', '309', '491', '397', '324', '190', '261', '25', '340']
['57', '483', '455', '2', '10', '399', '260', '395', '203', '364', '354', '67', '1', '498', '319', '3', '242', '256', '56']
['382', '257', '459', '253', '287', '263', '416', '272', '380', '45', '55', '375', '215', '247', '288', '353', '175', '202', '13']
['420', '392', '151', '44', '372', '422', '218', '82', '315', '423', '24', '168', '81', '132', '469', '478', '393', '189', '265']
['424', '418', '436', '474', '448', '220', '184', '290', '450', '407', '48', '389', '18', '208', '480', '342', '486', '428', '42']
['118', '143', '140', '193', '258', '271', '16', '8', '226', '145', '0', '61', '357', '365', '88', '267', '341', '308', '72']
['171', '317', '412', '262', '135', '33', '465', '426', '323', '421', '279', '236', '212', '74', '348', '156', '367', '139', '127']
['383', '159', '227', '369', '35', '73', '4', '285', '425', '402', '69', '460', '345', '371', '237', '107', '60', '50', '490']
['326', '179', '186', '246', '406', '276', '219', '126', '232', '169', '306', '153', '303', '343', '170', '201', '336', '21', '77']
['461', '472', '30', '240', '94', '489', '476', '17', '187', '141', '487', '325', '205', '249', '38', '462', '337', '117', '138']
['438', '284', '101', '62', '322', '413', '338', '22', '318', '176', '112', '96', '359', '41', '481', '90', '206', '333', '355']
['313', '471', '473', '120', '282', '40', '31', '241', '46', '388', '434', '360', '221', '499', '182', '174', '37', '493', '400']
['64', '214', '183', '207', '238', '250', '11', '356', '394', '248', '373', '417', '222', '293', '83', '95', '54', '335', '401']
['166', '454', '270', '213', '98', '437', '71', '161', '255', '185', '6', '442', '155', '494', '150', '411', '58', '134', '59']
['14', '339', '239', '278', '431', '160', '26', '19', '286', '167', '43', '391', '128', '374', '210', '116', '488', '209', '368']
['350', '199', '152', '277', '125', '251', '370', '307', '105', '299', '192', '49', '234', '178', '381', '244', '12', '458', '224']
['104', '130', '228', '93', '314', '51', '419', '235', '5', '361', '173', '387', '366', '78', '27', '230', '92', '302', '191']
['233', '441', '225', '408', '484', '9', '146', '291', '443', '274', '415', '100', '229']
['147', '311']
['485', '316']
['115', '180']
['245', '47']
['294', '449']
['305', '106']
['329', '275']
['268', '91']
['76', '52']
['280', '217']
['131', '377']
['198', '87']
['266', '84']
['351', '447']
['362', '200']
['475', '445']
['36', '252']
['453', '346']
['281', '451']
['194', '164']
['452', '363']
['298', '477']
['300', '211']
['321', '158']
['495']
['144']
