['203', '144', '180', '210', '6', '290', '193', '123', '229', '2', '195', '166', '281', '119', '127', '91', '256', '126']
['35', '32', '137', '186', '72', '80', '273', '4', '118', '196', '294', '164', '141', '124', '157', '12', '24', '106']
['213', '179', '228', '265', '270', '57', '235', '292', '310', '52', '275', '258', '267', '309', '197', '231', '259', '169']
['130', '271', '112', '280', '305', '155', '158', '291', '188', '222', '241', '136', '49', '36', '97', '58', '300', '65']
['185', '152', '11', '19', '147', '132', '159', '297', '268', '46', '40', '190', '1', '111', '149', '104', '14', '263']
['301', '10', '125', '312', '101', '28', '230', '176', '89', '170', '55', '54', '131', '20', '215']
['225', '217', '22', '27', '192', '237', '121', '250', '96', '92', '177', '249', '44']
['99', '299', '135', '308', '227', '171', '246', '5', '117', '82', '234', '286', '304']
['16', '30', '239', '76', '3', '175', '110', '245', '59', '189', '178', '212', '283']
['184', '306', '142', '83', '208', '60', '34', '88', '232', '87', '103', '261', '194']
['266', '48', '122', '269', '216', '202', '279', '31', '209', '128', '274', '173', '63']
['17', '218', '84', '74', '0', '162', '129', '77', '73', '161', '238', '200', '133']
['66', '39', '160', '204', '251', '207', '248', '199', '45', '81', '78', '182', '287']
['68', '289', '70', '13', '214', '276', '114', '247', '140', '206', '50', '143', '252']
['53', '198', '38', '75', '109', '298', '95', '277', '296', '151', '25', '9', '42']
['67', '102', '145', '69', '174', '181', '313', '90', '120', '156', '41', '223', '293']
['219', '282', '21', '233', '201', '79', '105', '98', '62', '64', '146', '311', '7']
['43', '138', '240', '168', '254', '139', '18', '285', '220', '272', '221', '278', '167']
['288', '61', '255', '26', '33', '226', '163', '262', '8', '172', '303', '295', '148']
['224', '94', '100', '116', '153', '302', '211', '56', '183', '107', '115', '150', '253']
['23', '257', '86', '85', '47', '307', '51', '93', '71', '29', '284', '244', '191']
['242', '108', '264', '37', '260', '154', '243', '15', '205', '236', '113', '165', '187']
['134']
