['450', '494', '433', '60', '264', '354', '318', '11', '134', '288', '216', '84', '105', '357', '175', '289', '254', '210', '448', '189', '476', '304', '271', '496', '467', '459', '103', '470', '287', '372', '195', '130', '152', '315', '322', '367', '199', '291', '180', '168', '96', '135', '362', '473', '226', '259', '389', '183', '400', '208', '9', '325', '53', '383', '160', '302', '481', '399', '148', '228', '483', '463', '421', '236', '131', '126', '112', '125', '477', '366', '355', '278', '234', '334', '465', '435', '89', '255', '177', '223', '377', '498', '427', '145', '197', '451', '273', '243', '153', '36', '320', '285', '281', '293', '323', '185', '299', '128', '482', '274', '303', '245', '489', '179', '363', '211', '348', '266', '56', '233', '329', '397', '282', '12', '335', '410', '486', '256', '237', '308', '123', '31', '201', '408', '165', '346', '176', '166', '57', '352', '442', '286', '365', '220', '422', '326', '246', '405', '34', '49', '284', '332', '296', '381', '19', '478', '242', '392', '21', '71', '248', '235']
['327', '328', '393', '169', '409', '316', '54', '106', '42', '64', '269', '79', '95', '378', '275', '207', '360', '136', '398', '300', '92', '384', '66', '129', '374', '63', '437', '29', '32', '429', '62', '417', '188', '358', '172', '412', '204', '394', '424', '404', '182', '445', '75', '395', '94', '142', '190', '468', '59', '108', '37', '149', '343', '46', '198', '261', '194', '222', '361', '480', '370', '4', '104', '99', '81', '382', '337', '48', '340', '258', '67', '17', '227', '402', '218', '25', '107', '391', '65', '143', '380', '493', '27', '252', '344', '449', '307', '419', '330', '113', '110', '80', '471', '359', '40', '196', '141', '466', '217', '244', '181', '215', '91', '401', '163', '260', '438', '238', '353', '202', '159', '41', '184', '305', '209', '267', '457', '492', '396', '415', '407', '314', '290', '313', '247', '385', '45', '72', '133', '272', '345', '390', '132', '8', '495', '497', '462', '403', '411', '388', '251', '474', '432', '425', '154', '373', '98', '150', '155', '127', '115', '28']
['61', '336', '206', '83', '321', '294', '379', '44', '306', '200', '270', '414', '137', '73', '93', '76', '192', '205', '109', '203', '452', '219', '87', '30', '283', '157', '418', '193', '369', '70', '292', '324', '253', '420', '124', '301', '171', '178', '231', '240', '453', '490', '6', '342']
['434', '488', '120', '224', '186', '472', '118', '174']
['428', '119', '458', '161', '13', '375', '139', '295']
['455', '444', '441', '368', '319', '446', '413', '456']
['229', '331', '167', '58', '20', '164', '213', '262']
['338', '279', '440', '173', '250', '333', '144', '90']
['14', '51', '1', '122', '484', '16', '276', '386']
['376', '491', '221', '265', '18', '341', '24', '464']
['479', '68', '280', '347', '249', '406', '10', '101']
['102', '97', '309', '349', '0', '364', '350', '146']
['499', '297', '23', '35', '426', '100', '26', '191']
['416', '430', '387', '311', '351', '15', '116', '158']
['74', '454', '111', '469', '5', '43', '121', '7']
['443', '312', '263', '69', '52', '268', '114', '212']
['485', '436', '310', '461', '447', '277', '371', '3']
['225', '170', '156', '423', '439', '239', '151', '50']
['356', '85', '38', '77', '33', '138', '317', '2']
['214', '39', '339', '241', '460', '47', '22', '162']
['487', '187', '475', '82', '147', '431', '86', '140']
['117', '232', '257', '55', '78', '88', '230', '298']
