['15', '108', '250', '259', '140', '237', '170', '153', '30', '190', '213', '221', '134', '234', '93']
['238', '26', '141', '193', '189', '51', '291', '195', '264', '111', '299', '230', '261', '55', '54']
['104', '225', '13', '219', '196', '226', '288', '294', '295', '149', '258', '285', '105', '179', '297']
['117', '121', '292', '242', '89', '211', '222', '61', '265', '94', '28', '4', '269', '161', '146']
['29', '166', '217', '306', '118', '282', '165', '20', '79', '173', '84', '132', '156', '159', '113']
['87', '123', '303', '279', '116', '143', '62', '266', '36', '112', '101', '95', '23', '131', '267']
['236', '18', '227', '47', '85', '115', '182', '272', '80', '32', '148', '203', '160', '35', '201']
['162', '283', '24', '157', '246', '74', '205', '53', '48', '63', '218', '244', '40', '181', '229']
['9', '75', '56', '254', '198', '69', '263', '243', '136', '46', '171', '275', '163', '280', '50']
['122', '208', '129', '65', '92', '284', '25', '187', '164', '289', '41', '83', '302', '155', '97']
['49', '192', '200', '33', '82', '128', '59', '249', '76', '45', '231', '191', '271', '22', '137']
['64', '240', '39', '216', '6', '301', '152', '139', '133', '247', '214', '232', '98', '215', '300']
['273', '207', '99', '268', '277', '17', '77', '127', '167', '175', '124', '38', '184', '135', '177']
['260', '235', '44', '120', '257', '142', '154', '188', '223', '2', '199', '180', '96', '276', '178']
['60', '209', '174', '130', '253', '274', '11', '281', '125', '102', '194', '197', '70', '224', '286']
['210', '220', '239', '109', '31', '206', '107', '10', '169', '293', '150', '245', '296', '212', '27']
['42', '90', '100', '73', '81', '43', '78', '202', '183', '86', '8', '248', '278', '88', '185']
['71', '91', '145', '138', '186', '34', '12', '126', '151', '168', '270', '158', '290', '68', '119']
['52', '262', '144', '204', '255', '103', '172', '251', '252', '287', '37', '58', '67', '233', '21']
['66', '305', '228', '5', '304', '114', '57', '147', '72', '241', '256', '176', '106', '298', '110']
['1']
['0', '19', '3', '7', '14', '16']
