['117', '246', '419', '94', '328', '300', '198', '375', '333', '128']
['33', '146', '163', '202', '444', '334', '297', '212', '44', '116']
['315', '411', '378', '37', '291', '29', '309', '62', '284', '414']
['3', '366', '452', '169', '186', '474', '364', '433', '98', '343']
['476', '96', '63', '229', '399', '329', '237', '123', '355', '119']
['166', '133', '424', '390', '493', '341', '292', '220', '199', '288']
['453', '59', '158', '336', '480', '370', '397', '161', '10', '74']
['256', '487', '203', '201', '72', '30', '51', '316', '324', '464']
['422', '426', '162', '447', '456', '255', '191', '223', '127', '466']
['28', '221', '427', '387', '4', '296', '337', '496', '122', '227']
['45', '346', '394', '285', '445', '344', '113', '325', '432', '101']
['85', '179', '120', '177', '129', '263', '38', '60', '233', '200']
['257', '473', '209', '356', '402', '35', '172', '69', '164', '354']
['182', '132', '157', '395', '330', '301', '351', '40', '439', '373']
['207', '360', '108', '211', '92', '147', '348', '262', '46', '138']
['206', '381', '463', '56', '19', '144', '270', '84', '416', '173']
['267', '265', '243', '314', '278', '57', '293', '323', '22', '269']
['403', '79', '471', '5', '231', '15', '318', '187', '398', '342']
['377', '78', '455', '145', '32', '304', '401', '294', '139', '104']
['242', '392', '131', '340', '102', '135', '112', '335', '472', '26']
['192', '125', '492', '105', '134', '494', '107', '65', '55', '409']
['283', '8', '495', '97', '435', '95', '70', '436', '53', '178']
['140', '210', '240', '384', '66', '217', '194', '83', '417', '332']
['195', '273', '24', '130', '12', '152', '214', '219', '176', '320']
['386', '281', '183', '16', '319', '250', '489', '216', '141', '405']
['34', '268', '434', '374', '1', '61', '222', '14', '451', '88']
['188', '479', '306', '421', '339', '362', '282', '137', '258', '485']
['225', '486', '415', '248', '11', '87', '322', '185', '175', '208']
['18', '249', '454', '420', '124', '359', '142', '363', '43', '6']
['470', '428', '115', '7', '481', '372', '266', '321', '91', '310']
['156', '438', '382', '236', '475', '159', '41', '443', '477', '218']
['407', '408', '165', '36', '77', '391', '331', '367', '27', '286']
['42', '400', '9', '110', '80', '196', '52', '448', '490', '460']
['189', '458', '280', '23', '111', '90', '431', '260', '238', '99']
['353', '58', '350', '73', '93', '457', '50', '17', '205', '308']
['311', '31', '151', '279', '345', '352', '465', '54', '193', '369']
['174', '365', '171', '154', '326', '383', '150', '232', '155', '168']
['498', '440', '244', '287', '261', '437', '181', '361', '49', '379']
['305', '368', '126', '226', '412', '423', '241', '234', '272', '497']
['2', '449', '64', '289', '307', '230', '406', '190', '468', '180']
['338', '197', '450', '276', '499', '184', '347', '121', '290', '446']
['385', '298', '491', '13', '86', '299', '482', '106', '274', '418']
['103', '89', '253', '254', '100', '149', '302', '441', '167', '148']
['228', '413', '48', '467', '313', '109', '114', '371', '317', '143']
['404', '380', '442', '462', '251', '295', '160', '239', '47', '429']
['213', '478', '349', '461', '488', '264', '20', '303', '312', '275']
['136', '376', '81', '259', '67', '396', '204', '153', '389', '252']
['68', '0', '425', '170', '39', '277', '118', '21', '76', '410']
['469', '247', '393', '459', '484', '215', '483', '224', '235', '327']
['82', '388', '71', '25', '357', '245', '358', '271', '75', '430']
