['204', '76', '33', '27', '112', '305', '394', '439', '159', '421', '261', '119', '18', '149', '113', '224', '417', '316', '172', '438', '93', '252', '205']
['53', '485', '19', '498', '188', '291', '376', '321', '65', '263', '271', '282', '435', '423', '413', '270', '333', '98', '449', '55', '36', '386', '368']
['452', '75', '464', '248', '356', '286', '365', '450', '41', '462', '480', '169', '84', '407', '393', '264', '125', '229', '323', '109', '37', '443', '380']
['456', '48', '446', '122', '116', '397', '468', '390', '354', '410', '51', '5', '324', '499', '370', '132', '432', '490', '241', '347', '355', '20', '283']
['497', '424', '290', '207', '415', '145', '382', '325', '185', '315', '235', '175', '139', '322', '420', '329', '117', '197', '244', '358', '483', '392', '353']
['266', '301', '400', '465', '70', '137', '72', '491', '312', '121', '273', '171', '34', '156', '477', '280', '4', '349', '209', '95', '161', '54', '44']
['30', '216', '74', '268', '29', '433', '82', '274', '298', '151', '42', '304', '66', '288', '26', '409', '482', '56', '162', '388', '77', '52', '488']
['348', '320', '6', '193', '237', '302', '371', '158', '154', '199', '434', '189', '427', '203', '138', '247', '246', '470', '297', '46', '342', '58', '398']
['202', '2', '336', '254', '458', '222', '115', '50', '97', '111', '253', '366', '215', '108', '299', '192', '123', '461', '143', '181', '45', '344', '234']
['364', '32', '144', '153', '401', '428', '484', '399', '28', '110', '318', '170', '127', '314', '206', '360', '411', '40', '372', '177', '256', '300', '236']
['130', '210', '67', '38', '362', '493', '496', '259', '338', '194', '12', '118', '148', '339', '442', '369', '96', '275', '15', '405', '359', '146', '186']
['478', '308', '102', '227', '332', '260', '196', '31', '183', '406', '319', '330', '494', '431', '157', '242', '23', '422', '11', '176', '479', '293', '178']
['152', '155', '250', '208', '310', '87', '327', '489', '107', '459', '379', '351', '463', '39', '492', '22', '180', '307', '455', '240', '408', '249', '200']
['17', '184', '160', '289', '179', '448', '198', '265', '174', '284', '278', '61', '13', '384', '195', '211', '440', '466', '313', '230', '277', '73', '49']
['80', '201', '414', '346', '105', '385', '88', '90', '396', '89', '231', '1', '9', '441', '225', '391', '106', '251', '377', '3', '467', '7', '91']
['334', '163', '378', '182', '389', '214', '21', '481', '425', '487', '279', '142', '83', '444', '243', '129', '92', '128', '81', '134', '78', '238', '62']
['94', '340', '100', '429', '361', '135', '269', '226', '57', '168', '469', '166', '381', '294', '375', '262', '257', '85', '350', '473', '124', '167', '164']
['16', '10', '276', '437', '486', '79', '326', '309', '141', '357', '383', '223', '363', '328', '213', '126', '239', '419', '99', '218', '472', '454', '228']
['457', '71', '281', '412', '352', '285', '136', '220', '403', '311', '191', '445', '221', '147', '43', '303', '460', '68', '416', '35', '64', '173', '374']
['306', '426', '255', '447', '0', '430', '451', '101', '317', '47', '404', '292', '337', '331', '345', '232', '258', '267', '387', '190', '418', '150', '212']
['140', '60', '120', '296', '187', '453', '104', '14', '373', '341', '219', '86', '217', '335', '476', '69', '233', '402', '272', '165', '295', '24', '287']
['495', '114', '395', '133', '436', '245', '343', '59', '103', '8', '131', '25', '474', '475', '471', '367', '63']
