['JarrettAllen', 'QuincyAcy']
['NikolaJokic', 'WilsonChandler']
['ZachRandolph', 'KostaKoufos']
['TylerUlis', 'TysonChandler']
['DeyontaDavis', 'AndrewHarrison']
['JustinHoliday', 'DenzelValentine']
['JaMychalGreen', 'TyrekeEvans']
['NickYoung', 'KlayThompson']
['NeneHilario', 'PJTucker']
['JJRedick', 'JoelEmbiid']
['BuddyHield', 'WillieCauleyStein']
['ChrisPaul', 'LucMbahaMoute']
['LouWilliams', 'AustinRivers']
['JaredDudley', 'AlexLen']
['KentBazemore', 'MalcolmDelaney']
['PatConnaughton', 'MauriceHarkless']
['EricBledsoe', 'MalcolmBrogdon']
['RussellWestbrook', 'PatrickPatterson']
['DarrenCollison', 'ThaddeusYoung']
['KrisDunn', 'PaulZipser']
['GeorgeHill', 'SkalLabissiere']
['MikeScott', 'JodieMeeks']
['RoyceONeale', 'DerrickFavors']
['DomantasSabonis', 'LanceStephenson']
['LeBronJames', 'DwyaneWade']
['LonzoBall', 'JordanClarkson']
['BrookLopez', 'JoshHart']
['JJBarea', 'DwightPowell']
['RudyGay', 'PauGasol']
['MaxiKleber', 'HarrisonBarnes']
['MarcinGortat', 'IanMahinmi']
['TajGibson', 'JimmyButler']
['OttoPorter', 'KellyOubre']
['TonySnell', 'GiannisAntetokounmpo']
['PattyMills', 'ManuGinobili']
['CarisLeVert', 'DeMarreCarroll']
['TobiasHarris', 'BlakeGriffin']
['JeramiGrant', 'AlexAbrines']
['RondaeHollisJefferson', 'SpencerDinwiddie']
['CristianoFelicio', 'JerianGrant']
['DewayneDedmon', 'MikeMuscala']
['IshSmith', 'ReggieBullock']
['PaulMillsap', 'GaryHarris']
['NemanjaBjelica', 'AndrewWiggins']
['AveryBradley', 'LangstonGalloway']
['MichaelBeasley', 'CourtneyLee']
['SergeIbaka', 'JakobPoeltl']
['JusufNurkic', 'ShabazzNapier']
['KyleOQuinn', 'KristapsPorzingis']
['DavidWest', 'ZazaPachulia']
['DwightHoward', 'MichaelCarterWilliams']
['LauriMarkkanen', 'DavidNwaba']
['DAngeloRussell', 'TylerZeller']
['DirkNowitzki', 'WesleyMatthews']
['RyanAnderson', 'JamesHarden']
['PatrickMcCaw', 'ShaunLivingston']
['VictorOladipo', 'AlJefferson']
['RichaunHolmes', 'BenSimmons']
['JaylenBrown', 'AlHorford']
['RaymondFelton', 'PaulGeorge']
['MasonPlumlee', 'JamalMurray']
['ElfridPayton', 'ShelvinMack']
['TJMcConnell', 'AmirJohnson']
['JaeCrowder', 'KevinLove']
['TylerJohnson', 'WayneEllington']
['TJWarren', 'MarqueseChriss']
['DeAndreJordan', 'MontrezlHarrell']
['JasonTerry', 'JabariParker']
['DeMarDeRozan', 'FredVanVleet']
['MarkieffMorris', 'BradleyBeal']
['IanClark', 'NikolaMirotic']
['EvanFournier', 'MarioHezonja']
['DanielTheis', 'AronBaynes']
['BogdanBogdanovic', 'JustinJackson']
