['325', '351', '300', '276', '253', '231', '210', '190', '171', '153', '136', '120', '105', '91', '78', '66', '55', '45', '36', '28', '21', '15', '10', '6', '3', '79', '302', '138', '137', '93']
['107', '68', '191', '192', '106', '56', '353', '233', '7', '326', '23', '29', '16', '8', '80', '11', '30', '12', '5', '278', '301', '173', '327', '37', '255', '47', '352', '211', '17', '67']
['1', '22', '122', '277', '254', '4', '232', '121', '57', '154', '212', '172', '38', '2', '155', '46', '92', '217', '39', '215', '143', '164', '150', '140', '206', '259', '168', '156', '228', '114']
['247', '309', '188', '170', '281', '242', '108', '193', '109', '299', '367', '256', '243', '139', '166', '314', '127', '312', '229', '165', '201', '124', '58', '288', '377', '204', '49', '333', '158', '220']
['111', '134', '59', '60', '269', '50', '65', '260', '234', '103', '270', '284', '336', '374', '81', '181', '84', '292', '32', '294', '258', '86', '87', '101', '14', '147', '62', '133', '355', '184']
['77', '262', '179', '273', '360', '135', '295', '159', '225', '324', '227', '257', '238', '51', '271', '221', '186', '178', '116', '33', '244', '213', '369', '313', '110', '203', '344', '250', '322', '246']
['328', '226', '235', '75', '98', '175', '145', '209', '339', '182', '358', '113', '89', '200', '368', '264', '197', '290', '174', '132', '356', '144', '239', '71', '350', '76', '361', '338', '240', '202']
['180', '364', '99', '354', '177', '280', '297', '261', '331', '305', '275', '199', '329', '194', '287', '149', '334', '161', '63', '25', '35', '268', '9', '263', '94', '85', '223', '48', '224', '330']
['73', '248', '160', '195', '187', '13', '26', '185', '219', '146', '148', '323', '19', '129', '363', '141', '162', '123', '196', '291', '189', '151', '18', '373', '272', '119', '152', '366', '34', '318']
['102', '142', '131', '208', '44', '279', '296', '372', '176', '286', '115', '340', '320', '157', '283', '285', '64', '126', '236', '310', '112', '218', '61', '282', '97', '82', '315', '311', '357', '365']
['96', '205', '214', '359', '274', '20', '265', '40', '222', '125', '198', '70', '349', '289', '249', '74', '41', '332', '104', '167', '183', '252', '216', '293', '251', '130', '88', '31', '69', '241']
['207', '83', '169', '348', '95', '266', '306', '267', '342', '376', '298', '345', '163', '337', '319', '43', '370', '341', '371', '53', '54', '362', '375', '27', '303', '335', '307', '308', '72', '230']
['346', '304', '90', '321']
