['16', '376', '76', '216', '116', '276', '201', '336', '56', '196', '96', '356', '316', '176', '396', '36', '156', '296', '136', '236']
['239', '39', '219', '99', '339', '179', '19', '79', '159', '279', '139', '199', '119', '59', '399', '319', '359', '259', '379']
['320', '340', '160', '100', '299', '180', '0', '80', '300', '280', '140', '260', '60', '360', '220', '120', '40', '200', '380', '20']
['353', '53', '393', '33', '13', '153', '193', '233', '273', '133', '333', '313', '73', '93', '293', '173', '113', '213', '373']
['184', '224', '364', '144', '84', '204', '264', '304', '384', '4', '324', '344', '284', '64', '44', '104', '124', '24', '164']
['94', '214', '74', '334', '174', '114', '394', '354', '154', '34', '314', '294', '274', '134', '54', '234', '194', '14', '374']
['66', '306', '6', '86', '26', '226', '366', '246', '166', '346', '326', '286', '206', '46', '126', '386', '146', '186', '106']
['41', '341', '61', '301', '361', '21', '121', '101', '181', '281', '381', '81', '241', '161', '141', '321', '1', '261', '221']
['372', '32', '152', '72', '192', '292', '312', '112', '132', '332', '52', '92', '232', '352', '172', '272', '212', '12', '392']
['251', '11', '191', '51', '171', '211', '371', '31', '71', '151', '291', '351', '131', '331', '231', '111', '311', '391', '91']
['30', '130', '370', '70', '10', '210', '290', '270', '390', '350', '310', '110', '90', '170', '230', '330', '190', '50', '150']
['185', '85', '145', '125', '265', '305', '105', '5', '345', '45', '385', '205', '365', '285', '325', '25', '225', '165', '65']
['289', '389', '269', '69', '229', '109', '369', '349', '29', '129', '209', '189', '89', '49', '309', '329', '9', '149', '169']
['17', '317', '137', '217', '377', '397', '237', '57', '337', '37', '297', '77', '357', '177', '277', '117', '197', '97', '157']
['347', '47', '67', '27', '287', '227', '207', '307', '87', '327', '127', '367', '387', '267', '187', '107', '7', '167', '147']
['238', '138', '358', '218', '198', '38', '398', '298', '98', '18', '318', '178', '78', '58', '338', '378', '278', '118', '158']
['43', '23', '203', '63', '3', '283', '123', '323', '223', '83', '163', '183', '343', '103', '303', '383', '143', '363', '263']
['348', '108', '48', '68', '288', '308', '228', '168', '208', '88', '28', '128', '388', '188', '8', '268', '328', '368', '148']
['35', '315', '135', '335', '75', '235', '155', '175', '195', '395', '95', '15', '375', '55', '295', '115', '275', '355', '215']
['242', '382', '122', '22', '282', '202', '102', '302', '2', '362', '142', '162', '322', '222', '82', '342', '62', '42', '182']
['266', '257', '255', '271', '240', '247', '248', '250', '254', '243', '245', '258', '262', '244', '249', '253', '252', '256']
