['m', 'mmmmmmm', 'nnnnnnn', 'mmmmmm', 'nnnnnnnn', 'mmmm', 'mmm', 'mmmmm', 'nnn', 'nnnnnn', 'nn', 'nnnnn', 'mm', 'mmmmmmmm', 'nnnn', 'n']
['uuuuuu', 'vvvv', 'vvvvv', 'u', 'uuuuuuuu', 'vvvvvvv', 'v', 'uuu', 'uuuuuuu', 'vv', 'uuuu', 'uu', 'uuuuu', 'vvv', 'vvvvvv', 'vvvvvvvv']
['ffff', 'eee', 'eeee', 'fff', 'eeeee', 'eeeeeeee', 'ffffffff', 'fffff', 'ffffff', 'f', 'ee', 'eeeeee', 'fffffff', 'e', 'ff', 'eeeeeee']
['hhhhh', 'gg', 'ggggg', 'gggggg', 'h', 'ggggggg', 'g', 'hhhh', 'hhhhhhhh', 'gggggggg', 'gggg', 'hhh', 'hhhhhh', 'hh', 'ggg', 'hhhhhhh']
['lllllll', 'lllll', 'kkkk', 'llll', 'lll', 'k', 'kkkkkk', 'llllllll', 'kkkkk', 'llllll', 'kk', 'll', 'kkkkkkk', 'kkk', 'l', 'kkkkkkkk']
['yyyyy', 'zzzzz', 'zzz', 'zzzzzz', 'y', 'yy', 'yyy', 'yyyyyy', 'yyyyyyy', 'yyyy', 'yyyyyyyy', 'z', 'zzzz', 'zzzzzzzz', 'zz', 'zzzzzzz']
['ww', 'wwwwwww', 'www', 'w', 'xxxxxxxx', 'xxxxxx', 'x', 'xxxxxxx', 'wwww', 'xxxx', 'wwwww', 'wwwwwwww', 'xxx', 'xxxxx', 'xx', 'wwwwww']
['CCCCCCC', 'DD', 'DDDDD', 'DDDDDDDD', 'CCC', 'DDDDDD', 'CCCCC', 'CCCCCC', 'D', 'C', 'CC', 'DDD', 'CCCC', 'DDDD', 'CCCCCCCC', 'DDDDDDD']
['r', 'rrrrrrr', 'rrrrr', 'rr', 'q', 'rrrr', 'qqqq', 'rrrrrrrr', 'rrrrrr', 'qq', 'qqqqqqqq', 'qqqqq', 'qqqqqqq', 'qqqqqq', 'qqq', 'rrr']
['77', '888888', '7', '7777', '88888888', '77777', '8', '777777', '7777777', '88888', '777', '8888888', '888', '8888', '77777777', '88']
['VVV', 'VVVVVVVV', 'VVVVVVV', 'VVVVV', 'UU', 'UUUUU', 'V', 'VV', 'UUUUUU', 'UUUUUUU', 'VVVV', 'UUUU', 'UUU', 'UUUUUUUU', 'U', 'VVVVVV']
['GGGGGG', 'HHHHHH', 'GGGGG', 'GGGGGGG', 'HHH', 'GGGG', 'HH', 'H', 'HHHHHHHH', 'GGG', 'G', 'GGGGGGGG', 'GG', 'HHHHH', 'HHHH', 'HHHHHHH']
['dddddd', 'ddddd', 'ccccccc', 'dddddddd', 'dddd', 'cccccc', 'ccc', 'ddd', 'ccccc', 'cccc', 'dd', 'cccccccc', 'd', 'ddddddd', 'cc', 'c']
['OOOOOOOO', 'PPPPPP', 'PPPPP', 'OOOOO', 'OOO', 'PPP', 'PPPPPPPP', 'PPPP', 'PP', 'OO', 'OOOO', 'OOOOOO', 'OOOOOOO', 'P', 'O', 'PPPPPPP']
['jjj', 'iii', 'jjjjjjjj', 'j', 'ii', 'iiiiiii', 'jjjj', 'iiiii', 'jjjjjjj', 'jjjjj', 'jj', 'jjjjjj', 'iiiiii', 'iiii', 'iiiiiiii', 'i']
