['15', '321', '303', '291', '189', '29', '31', '497', '352', '254', '57', '328', '230', '3', '79', '483', '286']
['108', '322', '318', '485', '277', '320', '444', '164', '309', '169', '355', '365', '152', '167', '280', '106', '119']
['91', '116', '52', '366', '237', '78', '153', '115', '196', '356', '205', '20', '175', '58', '84', '214', '50']
['162', '42', '490', '437', '73', '38', '51', '487', '421', '451', '336', '118', '255', '299', '124', '371', '298']
['87', '307', '195', '284', '140', '190', '223', '265', '494', '372', '234', '258', '471', '40', '384', '179', '224']
['312', '211', '489', '466', '227', '412', '128', '288', '358', '446', '276', '48', '98', '171', '275', '476', '135']
['100', '49', '99', '335', '475', '125', '452', '357', '294', '263', '249', '301', '149', '330', '184', '426', '14']
['177', '454', '122', '262', '474', '221', '213', '353', '378', '289', '341', '473', '392', '422', '75', '22', '54']
['425', '308', '6', '107', '443', '61', '305', '96', '114', '368', '194', '247', '461', '70', '159', '137', '267']
['400', '225', '478', '94', '424', '203', '148', '419', '304', '418', '385', '231', '218', '241', '216', '64', '27']
['235', '445', '143', '337', '393', '144', '112', '381', '2', '383', '447', '440', '56', '480', '340', '408', '499']
['90', '142', '463', '166', '36', '109', '183', '272', '161', '151', '127', '160', '401', '290', '68', '201', '338']
['120', '334', '138', '188', '206', '186', '25', '417', '306', '269', '198', '433', '314', '271', '158', '147', '233']
['453', '129', '89', '145', '134', '292', '455', '488', '493', '486', '492', '467', '395', '429', '176', '181', '323']
['313', '391', '470', '9', '448', '130', '414', '380', '472', '168', '63', '456', '251', '245', '481', '131', '88']
['141', '250', '405', '441', '210', '274', '361', '32', '10', '204', '282', '243', '367', '374', '261', '212', '397']
['1', '26', '266', '62', '491', '33', '77', '403', '375', '150', '80', '382', '165', '83', '146', '157', '229']
['104', '60', '363', '30', '24', '219', '200', '373', '464', '379', '310', '103', '354', '329', '430', '297', '16']
['460', '319', '427', '222', '85', '202', '281', '28', '4', '415', '438', '93', '76', '498', '46', '191', '105']
['450', '39', '406', '436', '43', '257', '65', '468', '228', '8', '136', '264', '416', '139', '111', '133', '362']
['238', '347', '220', '240', '457', '273', '207', '182', '268', '431', '226', '59', '126', '311', '256', '55', '300']
['316', '420', '193', '170', '86', '343', '11', '394', '12', '346', '484', '295', '364', '285', '331', '332', '178']
['390', '260', '123', '324', '279', '13', '360', '317', '95', '232', '5', '482', '359', '296', '132', '396', '389']
['386', '325', '283', '23', '407', '465', '376', '101', '102', '333', '348', '293', '410', '41', '402', '469', '37']
['0', '369', '239', '192', '327', '163', '81', '187', '199', '21', '74', '342', '377', '244', '458', '496', '248']
['399', '44', '432', '479', '47', '217', '350', '409', '351', '45', '349', '442', '270', '246', '71', '411', '185']
['236', '121', '242', '18', '174', '154', '439', '82', '17', '345', '180', '69', '462', '53', '423', '35', '302']
['117', '208', '209', '259', '92', '495', '253', '34', '278', '435', '370', '19', '197', '434', '7', '388', '110']
['315', '387', '477', '449', '66', '413', '398', '428', '339', '252', '459', '173', '67', '156', '155', '113', '97']
['404', '215', '287', '72']
['326', '172']
['344']
