['291', '11', '331', '438', '227', '90', '457']
['397', '448', '50', '468', '147', '312', '15']
['347', '458', '351', '32', '119', '108', '442']
['478', '462', '463', '37', '357', '116', '404']
['432', '471', '385', '372', '446', '389', '97']
['340', '403', '356', '377', '185', '482', '72']
['333', '101', '406', '360', '254', '384', '461']
['472', '381', '201', '58', '171', '416', '313']
['203', '298', '230', '74', '467', '391', '434']
['346', '443', '83', '464', '240', '212', '162']
['337', '27', '431', '459', '113', '237', '217']
['0', '142', '146', '49', '427', '410', '73']
['474', '87', '221', '273', '250', '60', '8']
['43', '200', '121', '35', '396', '353', '447']
['354', '402', '36', '91', '281', '392', '476']
['401', '452', '2', '69', '13', '190', '182']
['374', '144', '47', '366', '433', '66', '414']
['59', '118', '40', '65', '440', '178', '363']
['359', '112', '449', '398', '61', '38', '425']
['100', '5', '488', '93', '160', '253', '279']
['176', '202', '258', '430', '63', '1', '456']
['444', '75', '380', '368', '229', '420', '413']
['71', '405', '375', '477', '486', '338', '388']
['153', '283', '243', '98', '10', '56', '33']
['17', '484', '255', '102', '181', '89', '317']
['3', '475', '334', '225', '341', '88', '117']
['272', '394', '367', '48', '42', '139', '437']
['145', '6', '105', '429', '418', '262', '231']
['470', '188', '371', '407', '441', '76', '285']
['79', '311', '122', '275', '14', '208', '110']
['80', '192', '23', '329', '411', '46', '143']
['103', '373', '256', '99', '473', '297', '386']
['9', '280', '236', '348', '465', '111', '45']
['358', '453', '228', '29', '125', '12', '294']
['109', '325', '199', '198', '128', '300', '21']
['51', '327', '16', '314', '163', '409', '214']
['365', '28', '218', '263', '287', '339', '115']
['20', '55', '138', '248', '322', '124', '435']
['264', '148', '426', '96', '241', '4', '244']
['106', '131', '335', '26', '423', '466', '261']
['245', '268', '191', '249', '107', '159', '7']
['193', '364', '158', '41', '104', '299', '270']
['332', '487', '323', '196', '197', '25', '68']
['81', '30', '251', '165', '424', '342', '204']
['460', '290', '436', '172', '135', '370', '379']
['328', '22', '321', '57', '326', '271', '309']
['319', '18', '324', '167', '301', '412', '95']
['137', '295', '330', '24', '220', '67', '130']
['132', '85', '133', '415', '34', '408', '350']
['54', '186', '278', '226', '19', '282', '320']
['259', '269', '355', '480', '376', '399', '195']
['246', '369', '305', '345', '455', '383', '152']
['378', '451', '169', '238', '483', '189', '395']
['344', '154', '82', '209', '306', '31', '134']
['129', '289', '361', '39', '469', '120', '310']
['156', '336', '260', '70', '419', '183', '266']
['126', '77', '206', '302', '267', '164', '233']
['223', '390', '114', '349', '194', '92', '450']
['247', '479', '257', '211', '235', '216', '393']
['252', '219', '362', '422', '210', '485', '400']
['428', '307', '284', '170', '62', '175', '224']
['232', '140', '207', '78', '343', '308', '157']
['239', '94', '155', '151', '304', '303', '288']
['127', '53', '318', '161', '166', '150', '168']
['445', '184', '292', '417', '205', '315', '382']
['84', '387', '454', '173', '136', '234', '213']
['277', '86', '265', '352', '215', '481', '439']
['174', '286', '274', '44', '141', '222', '187']
['293', '316', '52', '242', '421', '179', '149']
['296', '177', '64', '180', '276', '123']
