['l9', 'y10', 'a8', 'b7', 'k5', 'n3', 'q4', 'v5', 'f3', 'v10']
['l6', 'l5', 'l3', 'l2', 'l8', 'l10', 'r9', 'r3', 'l4', 'l7']
['g1', 'g6', 'g10', 'g3', 'u4', 'g4', 'g5', 'g8', 'w7', 'g9']
['e6', 'k9', 'e9', 'h8', 'h1', 'j9', 'h7', 'x3', 'm4', 'h2']
['w6', 'u9', 'u7', 'v3', 'm7', 'v2', 'u6', 'd7', 's1', 'v1']
['x7', 'j7', 's2', 'p8', 'u2', 'p7', 'g7', 'i9', 'j2', 'p4']
['m3', 'o6', 'c10', 'w4', 'k1', 'h6', 'c2', 'o5', 'o7', 'h4']
['x4', 'v6', 'd1', 'x9', 'x6', 'y2', 'k7', 'x10', 'q3', 'e10']
['a9', 'a6', 'a1', 'a4', 'a2', 'a7', 'a10', 'a3', 'h10', 'a5']
['f4', 'f6', 'f9', 'j1', 'f7', 'f1', 'f5', 'f10', 'g2', 'f8']
['n4', 'i7', 'b10', 'n10', 't3', 'e4', 'c1', 'c7', 't4', 'i8']
['o3', 'm10', 'm5', 'm1', 't9', 'u8', 'j3', 'w1', 'u1', 'u3']
['y3', 'i1', 'i6', 'i2', 'y6', 'r5', 'i3', 'd5', 'f2', 'i4']
['n6', 'n9', 'n7', 'n8', 'n2', 'n5', 'x2', 'n1', 's4', 'd2']
['y8', 'd8', 's9', 'q2', 'j6', 'p9', 'r4', 'p2', 'p6', 'q5']
['t10', 'w9', 'o1', 't7', 't2', 'w10', 't8', 'w8', 'h5', 'c9']
['b9', 'b1', 'b8', 'b5', 'q9', 'm2', 'b3', 'b2', 'b6', 'b4']
['k6', 'l1', 'v9', 't1', 's6', 'm8', 'r10', 'r2', 'p3', 'k4']
['d6', 'd9', 'k3', 'i10', 'j8', 'c5', 'm9', 'u10', 'd3', 'o10']
['c6', 'c3', 'e8', 'd4', 'y4', 'e7', 'r6', 'e2', 'c8', 'w5']
['r7', 'y1', 's5', 'y9', 'k10', 's7', 's8', 'y5', 's3', 'e1']
['s10', 'p1', 'i5', 'q7', 'o4', 'j10', 'p10', 'y7', 'j4', 'x8']
['e5', 'q6', 'o8', 'v7', 'o2', 'd10', 'j5', 'q10', 't5', 'm6']
['h9', 'c4', 'r1', 'o9', 'e3', 'k2', 'w2', 'k8', 'h3', 'r8']
['x5', 'u5', 'q8', 'v4', 'x1', 'p5', 'w3', 'v8', 'q1', 't6']
