['67', '28', '92', '106', '353', '226', '327', '305', '248', '18', '218', '385', '243', '152', '345', '46', '127', '8', '413', '37', '129', '142', '378', '375', '230', '215']
['474', '108', '399', '270', '7', '433', '313', '240', '120', '185', '141', '126', '45', '357', '212', '130', '156', '299', '124', '284', '410', '238', '221', '356', '301', '387']
['63', '146', '151', '6', '70', '303', '140', '256', '14', '202', '99', '187', '26', '189', '102', '380', '285', '41', '95', '418', '192', '491', '111', '355', '464', '369']
['5', '361', '35', '223', '1', '393', '318', '131', '115', '479', '112', '265', '451', '498', '171', '316', '114', '93', '201', '204', '184', '468', '297', '483', '482', '311']
['349', '423', '233', '86', '62', '262', '444', '324', '271', '235', '358', '276', '211', '467', '422', '69', '169', '298', '118', '457', '309', '105', '403', '374', '382', '472']
['381', '394', '268', '263', '363', '400', '414', '421', '216', '480', '153', '371', '53', '128', '79', '139', '23', '257', '29', '344', '250', '328', '338', '331', '73', '372']
['320', '310', '172', '267', '429', '304', '206', '438', '188', '191', '401', '448', '258', '77', '273', '441', '419', '322', '470', '384', '177', '280', '255', '76', '208', '487']
['283', '61', '54', '155', '164', '138', '137', '107', '166', '475', '158', '21', '135', '227', '406', '0', '275', '199', '161', '94', '195', '136', '420', '196', '493', '296']
['176', '402', '289', '249', '332', '183', '293', '398', '424', '337', '370', '341', '362', '3', '10', '412', '220', '134', '59', '60', '65', '84', '32', '294', '101', '408']
['75', '175', '30', '368', '264', '144', '435', '465', '458', '463', '17', '13', '123', '286', '340', '254', '443', '214', '31', '83', '342', '351', '319', '43', '321', '168']
['193', '68', '49', '333', '103', '388', '360', '295', '386', '16', '178', '33', '471', '145', '36', '446', '396', '287', '334', '48', '452', '162', '55', '97', '359', '300']
['207', '27', '449', '335', '391', '343', '42', '439', '259', '242', '312', '288', '56', '181', '490', '390', '133', '434', '159', '225', '466', '200', '478', '253', '473', '404']
['47', '489', '352', '389', '392', '34', '44', '279', '157', '282', '20', '251', '78', '306', '38', '347', '100', '245', '143', '150', '436', '58', '50', '336', '87', '326']
['179', '485', '51', '244', '213', '492', '409', '98', '89', '290', '459', '132', '66', '437', '278', '261', '431', '224', '330', '22', '219', '19', '291', '373', '272', '15']
['277', '232', '325', '315', '365', '96', '205', '274', '222', '74', '455', '442', '163', '231', '307', '346', '24', '217', '39', '453', '228', '247', '170', '281', '109', '411']
['314', '454', '165', '497', '477', '269', '292', '397', '383', '461', '190', '116', '110', '203', '499', '488', '209', '427', '484', '445', '71', '350', '469', '450', '9', '476']
['426', '416', '119', '366', '91', '4', '417', '236', '40', '125', '104', '167', '252', '88', '481', '496', '460', '348', '415', '405', '428', '494', '72', '52', '117', '302']
['456', '229', '377', '260', '234', '440', '147', '430', '495', '447', '246', '182', '113', '197', '12', '174', '239', '173', '149', '407', '160', '432', '379', '323', '64', '121']
['57', '154', '198', '486', '462', '2', '317', '237', '367', '81', '210', '395']
['186', '80', '11', '339', '180', '354', '329', '194', '25', '148', '122', '425', '241', '266', '376', '308', '90', '364', '85', '82']
