['40', '27', '16', '4', '46', '32', '8', '36', '23', '34', '11', '25']
['3', '41', '31', '44', '14', '35', '10', '45', '1', '12', '42', '18']
['21', '22', '26', '19', '49', '7', '9', '37', '47', '43', '24', '17']
['48', '39']
['38', '15', '2', '5', '6', '20', '30', '29', '13', '28', '33', '0']
['38', '15', '2', '5', '6', '20', '30', '29', '13', '28', '33', '0']
['38', '15', '2', '5', '6', '20', '30', '29', '13', '28', '33', '0']
['38', '15', '2', '5', '6', '20', '30', '29', '13', '28', '33', '0']
['38', '15', '2', '5', '6', '20', '30', '29', '13', '28', '33', '0']
['38', '15', '2', '5', '6', '20', '30', '29', '13', '28', '33', '0']
['38', '15', '2', '5', '6', '20', '30', '29', '13', '28', '33', '0']
['38', '15', '2', '5', '6', '20', '30', '29', '13', '28', '33', '0']
['38', '15', '2', '5', '6', '20', '30', '29', '13', '28', '33', '0']
['38', '15', '2', '5', '6', '20', '30', '29', '13', '28', '33', '0']
['38', '15', '2', '5', '6', '20', '30', '29', '13', '28', '33', '0']
['38', '15', '2', '5', '6', '20', '30', '29', '13', '28', '33', '0']
['38', '15', '2', '5', '6', '20', '30', '29', '13', '28', '33', '0']
['38', '15', '2', '5', '6', '20', '30', '29', '13', '28', '33', '0']
['38', '15', '2', '5', '6', '20', '30', '29', '13', '28', '33', '0']
['38', '15', '2', '5', '6', '20', '30', '29', '13', '28', '33', '0']
