['477', '253', '482', '434', '444', '52', '353', '391', '250', '305', '490', '34', '127', '258', '235', '163', '354', '106', '314', '249', '280', '268', '2', '53']
['238', '242', '290', '246', '352', '57', '452', '12', '423', '91', '164', '82', '183', '346', '329', '390', '394', '149', '318', '251', '27', '350', '85', '103']
['383', '401', '400', '199', '14', '375', '259', '294', '395', '322', '296', '363', '99', '496', '83', '419', '88', '208', '245', '231', '168', '372', '451', '50']
['298', '68', '379', '123', '310', '201', '189', '62', '356', '110', '417', '28', '461', '239', '247', '481', '150', '261', '226', '55', '466', '47', '177', '0']
['277', '426', '266', '287', '398', '212', '428', '336', '195', '144', '229', '279', '89', '459', '18', '206', '217', '413', '347', '476', '244', '151', '157', '265']
['98', '114', '72', '67', '9', '460', '8', '155', '117', '182', '381', '317', '300', '70', '10', '432', '293', '87', '63', '454', '378', '107', '234', '112']
['364', '468', '478', '160', '418', '289', '122', '309', '80', '137', '384', '286', '410', '455', '38', '463', '11', '458', '24', '49', '283', '93', '376', '439']
['497', '421', '138', '325', '193', '184', '31', '136', '142', '233', '369', '222', '408', '4', '153', '221', '321', '75', '422', '37', '1', '323', '392', '220']
['132', '154', '344', '181', '54', '499', '78', '71', '64', '125', '433', '403', '230', '471', '393', '278', '487', '6', '281', '185', '355', '271', '367', '406']
['303', '172', '267', '404', '121', '32', '120', '13', '480', '409', '276', '126', '275', '484', '109', '228', '479', '457', '224', '440', '59', '362', '469', '333']
['312', '48', '204', '174', '25', '327', '198', '170', '308', '96', '351', '320', '209', '237', '146', '385', '449', '15', '86', '474', '158', '492', '205', '473']
['494', '81', '16', '124', '207', '90', '97', '304', '188', '139', '470', '76', '447', '77', '288', '486', '382', '491', '341', '416', '343', '301', '140', '255']
['313', '357', '366', '22', '415', '388', '130', '19', '211', '498', '254', '373', '443', '115', '389', '194', '141', '243', '380', '360', '44', '475', '156', '306']
['264', '331', '414', '105', '361', '467', '397', '299', '133', '365', '165', '200', '46', '175', '102', '349', '425', '302', '311', '169', '370', '51', '203', '101']
['386', '263', '3', '69', '191', '178', '108', '448', '236', '248', '292', '210', '214', '348', '493', '92', '35', '450', '342', '324', '196', '407', '272', '84']
['387', '29', '337', '269', '359', '111', '56', '187', '104', '145', '129', '315', '316', '424', '173', '167', '79', '431', '66', '5', '495', '340', '223', '161']
['60', '420', '438', '128', '43', '430', '435', '42', '30', '488', '445', '20', '166', '58', '40', '262', '368', '94', '65', '330', '273', '26', '442', '291']
['405', '240', '319', '190', '256', '282', '73', '180', '215', '232', '399', '464', '74', '17', '285', '427', '412', '297', '446', '465', '489', '462', '284', '377']
['118', '345', '131', '328', '437', '186', '202', '358', '339', '135', '134', '456', '260', '335', '257', '7', '148', '100', '270', '176', '61', '225', '116', '332']
['483', '33', '396', '23', '429', '39', '241', '453', '411', '197', '402', '113', '147', '216', '213', '219', '472', '171', '326', '436', '227', '374', '162', '334']
['119', '143', '45', '274', '338', '485', '41', '295', '152', '95', '179', '218', '36', '21', '252', '371']
['192', '159', '307', '441']
